,region,new,price,bedrm,bth,sqft
1832 Seven Pines Dr,"Saint Louis, MO",OLD,"$289,000",3bd,2ba,"1,658 sqft"
3722 Melba Pl,"Saint Louis, MO",OLD,"$59,900",2bd,2ba,"1,092 sqft"
12932 Sunset Bluff Ct,"Saint Louis, MO",OLD,"$1,450,000",6bd,7ba,"8,524 sqft"
9418 Crestwood Manor Dr,"Saint Louis, MO",OLD,"$248,000",3bd,2ba,"1,554 sqft"
9020 Southview Ln,"Saint Louis, MO",OLD,"$139,900",3bd,1ba,"1,096 sqft"
9019 Sun Country Trl,"Saint Louis, MO",OLD,"$359,000",3bd,3ba,"2,900 sqft"
10 Waverton Dr,"Saint Louis, MO",OLD,"$539,900",3bd,2ba,"2,057 sqft"
4847 Hannover Ave,"Saint Louis, MO",OLD,"$129,900",2bd,1ba,816 sqft
9415 Reavis Barracks Rd,"Saint Louis, MO",OLD,"$150,000",3bd,1ba,"1,128 sqft"
7917 S Rock Hill Rd,"Saint Louis, MO",OLD,"$130,000",2bd,1ba,"1,159 sqft"
9438 S Broadway,"Saint Louis, MO",OLD,"$160,000",4bd,2ba,"1,628 sqft"
8029 Delmar Blvd,"Saint Louis, MO",OLD,"$344,900",3bd,2ba,"2,963 sqft"
217 Cameron Rd,"Saint Louis, MO",OLD,"$11,900",3bd,1ba,844 sqft
3008 Glade Ave,"Saint Louis, MO",FOR SALE BY OWNER,"$35,000",3bd,2ba,960 sqft
10229 Imperial Dr,"Saint Louis, MO",OLD,"$52,150",3bd,1ba,960 sqft
1527 Friar Ln,"Saint Louis, MO",FOR SALE BY OWNER,"$497,000",3bd,2ba,"2,040 sqft"
519 Wilcox Ave,"Saint Louis, MO",FOR SALE BY OWNER,"$399,500",4bd,3ba,"2,200 sqft"
7522 Lynn Ave,"North Central, Saint Louis, MO",OLD,"$85,000",2bd,1ba,"1,026 sqft"
4674 Oldenburg Ave,"Saint Louis, MO",OLD,"$92,000",2bd,1ba,688 sqft
11533 Rosary Ln,"Saint Louis, MO",OLD,"$225,000",4bd,3ba,"2,112 sqft"
1020 Westglen Dr,"Saint Louis, MO",OLD,"$178,500",2bd,1ba,"1,000 sqft"
5463 Hodiamont Ave,"Saint Louis, MO",OLD,"$38,900",3bd,2ba,"1,344 sqft"
12 Pricemont Dr,"Saint Louis, MO",OLD,"$460,000",3bd,4ba,"2,170 sqft"
2726 Wheaton Ave,"Saint Louis, MO",NEWFOR SALE BY OWNER,"$53,000",1bd,1ba,837 sqft
4708 Hannover Ave,"Saint Louis, MO",OLD,"$147,900",3bd,1ba,"1,014 sqft"
1631 Parker Rd,"Saint Louis, MO",OLD,"$125,000",3bd,2ba,"1,323 sqft"
5614 Viewpoint Ln,"Saint Louis, MO",OLD,"$250,000",3bd,2ba,"1,443 sqft"
8301 Madison Ave,"Saint Louis, MO",OLD,"$299,900",4bd,3ba,"3,252 sqft"
1 Westridge Ct,"Saint Louis, MO",OLD,"$550,000",4bd,2ba,"2,700 sqft"
9140 Ladue Rd,"Saint Louis, MO",OLD,"$610,000",4bd,2ba,"3,351 sqft"
12497 Chrisann Ln,"Saint Louis, MO",OLD,"$699,000",4bd,2ba,"2,222 sqft"
234 Argent Ave,"Saint Louis, MO",OLD,"$135,000",4bd,2ba,"1,440 sqft"
941 Des Peres Rd,"Saint Louis, MO",OLD,"$590,000",3bd,3ba,"3,617 sqft"
1437 Broadlawns Ln,"Saint Louis, MO",NEW,"$114,900",3bd,1ba,912 sqft
116 Parsons Ave,"Saint Louis, MO",OLD,"$415,000",3bd,3ba,"1,804 sqft"
501 Ziercher St,"Saint Louis, MO",FOR SALE BY OWNER,"$249,900",4bd,1ba,"1,128 sqft"
1651 Rathford Dr,"Saint Louis, MO",OLD,"$245,900",4bd,2ba,"1,725 sqft"
1183 Hampton Park Dr,"Saint Louis, MO",OLD,"$1,099,000",6bd,4ba,"5,173 sqft"
7619 Maryland Ave,"Saint Louis, MO",OLD,"$1,650,000",3bd,4ba,"5,120 sqft"
501 Aqua Ridge Dr,"Saint Louis, MO",OLD,"$184,900",3bd,1ba,"1,568 sqft"
12704 Creekside View Dr,"Creve Coeur, MO",OLD,"$829,000",3bd,3ba,"3,509 sqft"
12421 Matthews Ln,"Saint Louis, MO",FOR SALE BY OWNER,"$270,000",2bd,3ba,"1,436 sqft"
1316 Timber Run Dr,"Saint Louis, MO",OLD,"$265,000",3bd,2ba,"1,526 sqft"
1004 Tempo Dr,"Saint Louis, MO",OLD,"$219,900",3bd,2ba,"1,176 sqft"
11225 Mimosa Ln,"Saint Louis, MO",OLD,"$389,900",3bd,2ba,"1,735 sqft"
835 Marshall Ave,"Saint Louis, MO",OLD,"$230,000",2bd,1ba,896 sqft
3505 Pine Grove Ave,"Saint Louis, MO",NEW,"$95,000",3bd,2ba,"1,680 sqft"
9120 Sumter Dr,"Saint Louis, MO",OLD,"$104,000",3bd,2ba,"1,166 sqft"
2332 Rockdale Ave,"Saint Louis, MO",NEW,"$124,900",3bd,1ba,"1,285 sqft"
729 Woods Of Ladue Ln,"Saint Louis, MO",OLD,"$1,050,000",4bd,4ba,"4,887 sqft"
12610 Rambling Oaks Pl,"Saint Louis, MO",OLD,"$750,000",5bd,6ba,"5,544 sqft"
8609 Virgil Ave,"Saint Louis, MO",FOR SALE BY OWNER,"$134,950",2bd,2ba,977 sqft
3475 Charlack Ave,"Saint Louis, MO",OLD,"$109,000",2bd,2ba,"1,400 sqft"
615 Norton Ave,"Saint Louis, MO",OLD,"$575,000",4bd,3ba,"2,235 sqft"
7326 Country Club Dr,"Saint Louis, MO",NEW,"$260,000",3bd,3ba,"1,589 sqft"
10010 Schuessler Rd,"Saint Louis, MO",OLD,"$235,000",3bd,2ba,"1,390 sqft"
35 Deerfield Ln,"Saint Louis, MO",OLD,"$253,000",3bd,3ba,"1,428 sqft"
6222 Kings Ferry Rd,"Saint Louis, MO",OLD,"$550,000",4bd,4ba,"4,128 sqft"
11929 Edwards Place Ct,"Saint Louis, MO",OLD,"$685,000",4bd,5ba,"3,944 sqft"
1303 Bansbach Rd,"Saint Louis, MO",OLD,"$778,000",4bd,4ba,"4,728 sqft"
275 Elmdale Dr,"Saint Louis, MO",NEW,"$105,000",3bd,1ba,960 sqft
1935 Sturfield Ln,"Saint Louis, MO",OLD,"$584,000",4bd,3ba,"2,874 sqft"
1 Berwick Arbors At Stonegate Dr,"Saint Louis, MO",OLD,"$295,900",3bd,3ba,"1,728 sqft"
6060 Garfield Ave,"Saint Louis, MO",OLD,"$45,000",2bd,1ba,768 sqft
643 Bambury Way,"Saint Louis, MO",OLD,"$399,000",3bd,3ba,"2,367 sqft"
1065 Haversham Pl,"Saint Louis, MO",OLD,"$499,900",4bd,3ba,"3,321 sqft"
12643 Conway Downs Dr,"Saint Louis, MO",OLD,"$509,900",5bd,5ba,"3,188 sqft"
26 Fox Meadows Ln,"Saint Louis, MO",OLD,"$719,900",4bd,3ba,"3,259 sqft"
9801 Nitsch Ln,"Saint Louis, MO",OLD,"$450,000",3bd,3ba,"2,544 sqft"
5828 Heege Rd,"Saint Louis, MO",OLD,"$145,000",2bd,1ba,898 sqft
76 Ladue Estates Dr,"Saint Louis, MO",OLD,"$899,900",6bd,5ba,"4,497 sqft"
4999 Arbors At Stonegate Dr,"Saint Louis, MO",OLD,"$317,101",3bd,2ba,"1,279 sqft"
818 Margo Ave,"Saint Louis, MO",OLD,"$109,000",4bd,2ba,"1,914 sqft"
10041 Gregory Ct,"Saint Louis, MO",OLD,"$259,900",3bd,2ba,"1,520 sqft"
629 Buckley Rd,"Saint Louis, MO",OLD,"$166,900",3bd,2ba,"1,400 sqft"
7451 Stanford Ave,"Saint Louis, MO",OLD,"$359,900",3bd,2ba,"2,028 sqft"
9504 Fringe Ct,"Saint Louis, MO",OLD,"$759,900",4bd,5ba,"4,925 sqft"
12927 N Topping Estates Dr,"Saint Louis, MO",OLD,"$899,000",4bd,3ba,"3,913 sqft"
9121 Garber Rd,"Saint Louis, MO",OLD,"$749,900",4bd,4ba,"5,500 sqft"
10517 Baron Dr,"Saint Louis, MO",BANK OWNED,"$19,900",2bd,1ba,888 sqft
1433 Craig Rd,"Saint Louis, MO",OLD,"$875,000",4bd,5ba,"4,652 sqft"
1108 Fernview Dr,"Saint Louis, MO",OLD,"$365,000",5bd,3ba,"2,320 sqft"
542 E Adams Ave,"Saint Louis, MO",OLD,"$889,000",5bd,5ba,"3,800 sqft"
7918 Cornell Ave,"Saint Louis, MO",OLD,"$382,000",3bd,2ba,"2,187 sqft"
9453 Kirchner Ave,"Saint Louis, MO",OLD,"$144,900",2bd,1ba,816 sqft
5912 Oakville Woods Pl,"Saint Louis, MO",OLD,"$639,900",4bd,4ba,"3,455 sqft"
404 S Clark Ave,"Saint Louis, MO",OLD,"$337,500",4bd,4ba,"4,311 sqft"
316 Coppinger Dr,"Saint Louis, MO",OLD,"$104,900",2bd,1ba,"1,500 sqft"
23 Overbrook Dr,"Saint Louis, MO",OLD,"$2,995,000",7bd,7ba,"8,856 sqft"
144 Roseacre Ln,"Saint Louis, MO",OLD,"$490,000",4bd,4ba,"2,503 sqft"
8460 January Ave,"Saint Louis, MO",FOR SALE BY OWNER,"$67,000",3bd,2ba,"1,288 sqft"
6647 Bitteroot Ln,"Saint Louis, MO",OLD,"$55,000",4bd,2ba,"1,288 sqft"
336 Tiffin Ave,"Saint Louis, MO",OLD,"$260,000",4bd,4ba,"2,483 sqft"
9508 Sontag Ln,"Saint Louis, MO",FOR SALE BY OWNER,"$169,900",2bd,2ba,940 sqft
15 Sunset Ct,"Saint Louis, MO",OLD,"$97,500",3bd,2ba,"1,235 sqft"
8780 Pine Ave,"Saint Louis, MO",OLD,"$680,000",5bd,5ba,"3,293 sqft"
400 S Warson Rd,"Saint Louis, MO",OLD,"$2,150,000",4bd,6ba,"6,117 sqft"
2033 Blendon Pl,"Saint Louis, MO",OLD,"$395,000",6bd,3ba,"2,700 sqft"
7409 Warwick Dr,"Saint Louis, MO",OLD,"$189,000",3bd,2ba,"1,892 sqft"
3092 Bellerive Dr,"Saint Louis, MO",OLD,"$175,000",6bd,3ba,"2,832 sqft"
21 Royal Ave,"Saint Louis, MO",OLD,"$114,900",3bd,2ba,"1,434 sqft"
330 Upper Conway Estates Ct,"Saint Louis, MO",OLD,"$1,899,000",4bd,6ba,"4,841 sqft"
944 Jeanerette Dr,"Saint Louis, MO",OLD,"$265,000",3bd,2ba,"2,338 sqft"
7025 Aliceton Ave,"Saint Louis, MO",OLD,"$199,999",3bd,3ba,"1,144 sqft"
8 Dromara Rd,"Saint Louis, MO",OLD,"$2,200,000",6bd,7ba,"6,445 sqft"
3525 Belaire Pl,"Saint Louis, MO",OLD,"$105,000",4bd,2ba,"1,519 sqft"
9205 Robyn Rd,"Saint Louis, MO",OLD,"$759,000",5bd,5ba,"3,650 sqft"
412 Nelda Ave,"Saint Louis, MO",OLD,"$699,900",4bd,4ba,"3,400 sqft"
830 Wachtel Ave,"Saint Louis, MO",OLD,"$40,000",3bd,2ba,"1,100 sqft"
1167 Remley Ct,"Saint Louis, MO",FOR SALE BY OWNER,"$149,900",3bd,2ba,"1,700 sqft"
2025 Hord Ave,"Saint Louis, MO",FOR SALE BY OWNER,"$6,000",3bd,2ba,"1,400 sqft"
12858 Thornhill Ct,"Saint Louis, MO",OLD,"$1,125,000",5bd,6ba,"6,244 sqft"
333 S Spoede Rd,"Saint Louis, MO",OLD,"$715,000",5bd,3ba,"3,400 sqft"
3204 Berview Ln,"Saint Louis, MO",OLD,"$529,000",4bd,5ba,"4,020 sqft"
12930 S Topping Estates Dr,"Saint Louis, MO",OLD,"$1,999,000",5bd,8ba,"7,436 sqft"
22 Briarcliff,"Saint Louis, MO",OLD,"$1,125,000",5bd,5ba,"6,304 sqft"
213 N Bemiston Ave,"Saint Louis, MO",OLD,"$2,650,000",3bd,5ba,"5,198 sqft"
46 Tealwood Dr,"Saint Louis, MO",OLD,"$435,000",4bd,2ba,"1,624 sqft"
1870 S Mason Rd,"Saint Louis, MO",FOR SALE BY OWNER,"$795,000",4bd,4ba,"2,800 sqft"
418 N Elizabeth Ave,"Saint Louis, MO",OLD,"$84,500",2bd,1ba,"2,160 sqft"
849 Clark Ave,"Webster Groves, MO",OLD,"$294,900",3bd,2ba,"1,676 sqft"
8401 University Dr,"Saint Louis, MO",OLD,"$2,150,000",4bd,6ba,"6,399 sqft"
31 Westwood Country Clb,"Saint Louis, MO",OLD,"$899,000",5bd,5ba,"5,152 sqft"
207 Lithia Ave,"Saint Louis, MO",OLD,"$349,900",3bd,4ba,"1,730 sqft"
11728 Helta Ct,"Saint Louis, MO",FOR SALE BY OWNER,"$380,000",2bd,2ba,"1,814 sqft"
133 Bellerosa Dr,"Saint Louis, MO",FOR SALE BY OWNER,"$835,000",4bd,4ba,"4,790 sqft"
21 Lynnbrook Rd,"Saint Louis, MO",OLD,"$1,999,000",5bd,6ba,"7,215 sqft"
9416 Robert Deves Dr,"Saint Louis, MO",OLD,"$249,900",2bd,2ba,"1,400 sqft"
9624 Yorkshire Estates Dr,"Saint Louis, MO",FOR SALE BY OWNER,"$280,000",3bd,2ba,"1,353 sqft"
7373 Elm Ave,"Saint Louis, MO",OLD,"$339,900",4bd,2ba,"1,723 sqft"
5628 Welmering Dr,"Saint Louis, MO",OLD,"$115,000",1bd,1ba,726 sqft
7037 Arcadia Ave,"North Central, Saint Louis, MO",OLD,"$215,000",3bd,2ba,"2,063 sqft"
2431 Christopher Winds Ln,"Saint Louis, MO",OLD,"$449,000",4bd,4ba,"3,480 sqft"
15 Williamsburg Rd,"Saint Louis, MO",OLD,"$2,680,000",6bd,8ba,"8,522 sqft"
7120 Roslyn Dr,"Saint Louis, MO",OLD,"$39,900",2bd,1ba,850 sqft
1240 N Florissant Rd,"Saint Louis, MO",OLD,"$70,000",3bd,2ba,"1,389 sqft"
6656 Kenwood Dr,"Saint Louis, MO",OLD,"$68,000",3bd,2ba,"1,478 sqft"
40 Conwood Ln,"Saint Louis, MO",OLD,"$975,000",6bd,4ba,"5,002 sqft"
469 N Hanley Rd,"Saint Louis, MO",OLD,"$999,000",5bd,3ba,"4,392 sqft"
614 Attucks St,"Saint Louis, MO",OLD,"$265,000",3bd,2ba,"1,058 sqft"
9763 Lewis And Clark Blvd,"Saint Louis, MO",OLD,"$90,000",4bd,3ba,"1,518 sqft"
7818 Lafon Pl,"Saint Louis, MO",OLD,"$439,900",5bd,2ba,"2,234 sqft"
12358 Mulberry Tree Ct,"Saint Louis, MO",OLD,"$799,000",5bd,5ba,"5,177 sqft"
709 N Bemiston Ave,"Saint Louis, MO",OLD,"$349,900",3bd,3ba,"2,112 sqft"
178 S Mason Rd,"Saint Louis, MO",OLD,"$775,000",5bd,4ba,"3,515 sqft"
1453 Neffwold Ln,"Saint Louis, MO",FOR SALE BY OWNER,"$849,000",4bd,5ba,"4,230 sqft"
2160 Edmund Ave,"Saint Louis, MO",OLD,"$29,900",2bd,1ba,836 sqft
69 Colonial Hills Dr,"Saint Louis, MO",OLD,"$2,095,000",5bd,7ba,"7,976 sqft"
1004 Joanna Ave,"Saint Louis, MO",OLD,"$494,000",3bd,2ba,"2,780 sqft"
12632 Bradford Woods Dr,"Saint Louis, MO",OLD,"$1,300,000",4bd,7ba,"9,592 sqft"
9401 Lodge Pole Ln,"Saint Louis, MO",FOR SALE BY OWNER,"$246,900",3bd,2ba,"1,406 sqft"
6563 Leschen Ave,"Saint Louis, MO",OLD,"$25,000",2bd,1ba,792 sqft
29 Westwood Country Clb,"Saint Louis, MO",OLD,"$2,775,000",5bd,7ba,"8,300 sqft"
2114 Erick Ave,"Saint Louis, MO",OLD,"$29,900",2bd,1ba,"1,222 sqft"
6567 Jesse Jackson Ave,"Saint Louis, MO",OLD,"$30,000",2bd,2ba,"1,490 sqft"
711 Sherwood Dr,"Saint Louis, MO",OLD,"$939,000",5bd,3ba,"3,956 sqft"
6428 Saint Louis Ave,"Saint Louis, MO",OLD,"$30,000",2bd,1ba,875 sqft
6565 Leschen Ave,"Saint Louis, MO",OLD,"$25,000",2bd,1ba,756 sqft
961 Chapel Wood Ct,"Saint Louis, MO",OLD,"$889,990",4bd,4ba,"3,649 sqft"
6235 Greer Ave,"Saint Louis, MO",OLD,"$25,900",2bd,1ba,900 sqft
11 Claychester Dr,"Saint Louis, MO",OLD,"$2,225,000",4bd,6ba,"7,167 sqft"
12502 Questover Ct,"Saint Louis, MO",OLD,"$515,000",3bd,4ba,"2,832 sqft"
8001 Titus Rd,"Saint Louis, MO",OLD,"$78,000",2bd,1ba,"1,045 sqft"
6615 Raymond Ave,"Saint Louis, MO",FOR SALE BY OWNER,"$15,900",3bd,2ba,"1,341 sqft"
531 N Central Ave,"Saint Louis, MO",OLD,"$624,900",4bd,3ba,"2,829 sqft"
303 Ladue Woods Ct,"Saint Louis, MO",OLD,"$2,195,000",5bd,7ba,"8,442 sqft"
118 Teddy Ave,"Saint Louis, MO",OLD,"$79,900",2bd,1ba,576 sqft
7448 Esterbrook Dr,"Saint Louis, MO",BANK OWNED,Contact For Price,2bd,1ba,972 sqft
7409 Victory Ct,"Saint Louis, MO",FOR SALE BY OWNER,"$69,900",3bd,1ba,936 sqft
312 Vida Ave,"Saint Louis, MO",OLD,"$120,000",2bd,2ba,"1,225 sqft"
7415 Esterbrook Dr,"Saint Louis, MO",OLD,"$61,500",3bd,1ba,"1,008 sqft"
9710 Medford Dr,"Saint Louis, MO",NEW,"$87,500",3bd,1ba,912 sqft
9720 Cambria Dr,"Saint Louis, MO",OLD,"$72,000",3bd,1ba,"1,014 sqft"
816 Nirk Ave,"Saint Louis, MO",OLD,"$145,000",3bd,2ba,988 sqft
764 Elkington Ln,"Saint Louis, MO",OLD,"$1,195,000",5bd,5ba,"4,436 sqft"
40 Burroughs Ln,"Saint Louis, MO",OLD,"$915,000",4bd,5ba,"4,624 sqft"
13 Westwood Country Clb,"Saint Louis, MO",OLD,"$2,195,000",3bd,5ba,"4,511 sqft"
9662 Lilly Jean Dr,"Saint Louis, MO",OLD,"$110,000",2bd,1ba,816 sqft
9328 Kenneth Pl,"Saint Louis, MO",OLD,"$599,900",4bd,4ba,"3,000 sqft"
5825 Hempline Rd,"Saint Louis, MO",FOR SALE BY OWNER,"$232,000",3bd,2ba,"1,138 sqft"
14 Ladue Rdg,"Saint Louis, MO",OLD,"$1,699,000",6bd,5ba,"4,627 sqft"
7311 Westmoreland Dr,"Saint Louis, MO",OLD,"$1,145,000",4bd,5ba,"4,739 sqft"
817 Brownell Ave,"Saint Louis, MO",OLD,"$440,000",4bd,3ba,"2,186 sqft"
11055 Littie Rd,"Saint Louis, MO",OLD,"$575,000",3bd,2ba,"2,122 sqft"
92 Beachcomber Dr,"Saint Louis, MO",OLD,"$259,900",3bd,2ba,"1,416 sqft"
60 Daryl Ln,"Saint Louis, MO",OLD,"$679,000",3bd,3ba,"2,695 sqft"
28 Overbrook Dr,"Saint Louis, MO",OLD,"$2,895,000",6bd,8ba,"9,159 sqft"
6312 Bluff Forest Dr,"Saint Louis, MO",OLD,"$720,000",4bd,7ba,"3,824 sqft"
6457 Myron Ave,"Saint Louis, MO",OLD,"$53,500",2bd,1ba,850 sqft
9508 Margo Ann Ln,"Saint Louis, MO",OLD,"$112,900",3bd,1ba,"1,008 sqft"
19 Midpark Ln,"Saint Louis, MO",OLD,"$725,000",5bd,3ba,"2,499 sqft"
3411 Brown Rd,"Saint Louis, MO",OLD,"$199,950",4bd,2ba,"2,240 sqft"
2621 N Ballas Rd,"Saint Louis, MO",OLD,"$1,050,000",4bd,5ba,"4,107 sqft"
8133 Tulane Ave,"Saint Louis, MO",OLD,"$300,000",3bd,2ba,"1,761 sqft"
7 Bon Aire Dr,"Saint Louis, MO",OLD,"$1,250,000",5bd,5ba,"5,950 sqft"
7629 Belwood Dr,"Saint Louis, MO",OLD,"$79,900",2bd,1ba,761 sqft
6104 Vetter Pl,"Saint Louis, MO",OLD,"$29,900",4bd,1ba,950 sqft
231 Becker Dr,"Saint Louis, MO",OLD,"$95,000",3bd,2ba,864 sqft
7616 Maryland Ave,"Saint Louis, MO",OLD,"$2,460,000",5bd,6ba,"5,262 sqft"
3837 Waco Dr,"Saint Louis, MO",OLD,"$120,000",4bd,2ba,"2,174 sqft"
4322 Oakwood Ave,"Saint Louis, MO",OLD,"$32,000",3bd,1ba,780 sqft
7413 Wise Ave,"Saint Louis, MO",OLD,"$859,900",5bd,5ba,"3,488 sqft"
6900 Ira Ave,"Saint Louis, MO",OLD,"$95,000",2bd,1ba,"1,454 sqft"
9500 Stansberry Ave,"Saint Louis, MO",NEW,"$99,900",2bd,1ba,"1,576 sqft"
1314 Cordata Dr,"Saint Louis, MO",OLD,"$837,611",3bd,4ba,"3,411 sqft"
1258 Chambers Rd,"Saint Louis, MO",OLD,"$104,900",3bd,1ba,975 sqft
7229 Shaftesbury Ave,"Saint Louis, MO",OLD,"$219,900",2bd,3ba,"1,372 sqft"
9851 Sappington Rd,"Saint Louis, MO",OLD,"$299,500",2bd,1ba,"1,476 sqft"
474 Fieldcrest Dr,"Saint Louis, MO",OLD,"$319,900",3bd,2ba,"1,846 sqft"
6236 Lexington Ave,"Saint Louis, MO",OLD,"$29,900",2bd,1ba,672 sqft
6026 Margaretta Ave,"Saint Louis, MO",OLD,"$39,900",2bd,1ba,840 sqft
6101 Saint Paul Pl,"Saint Louis, MO",OLD,"$29,900",2bd,1ba,"1,034 sqft"
3819 Lawler Dr,"Saint Louis, MO",FOR SALE BY OWNER,"$55,000",2bd,1ba,"1,244 sqft"
6228 Greer Ave,"Saint Louis, MO",OLD,"$29,900",3bd,1ba,"1,008 sqft"
8232 John Pl,"Saint Louis, MO",OLD,"$49,900",1bd,1ba,942 sqft
4345 Dardenne Dr,"Saint Louis, MO",OLD,"$29,900",2bd,1ba,750 sqft
4211 Jennings Station Rd,"Saint Louis, MO",OLD,"$29,900",3bd,1ba,"1,175 sqft"
3732 Sylvan Pl,"Saint Louis, MO",OLD,"$29,900",2bd,1ba,891 sqft
6206 Lorraine Ave,"Saint Louis, MO",OLD,"$29,900",2bd,1ba,875 sqft
7435 Stratford Ave,"Saint Louis, MO",OLD,"$949,000",4bd,4ba,"4,192 sqft"
925 Roussilon Ct,"Saint Louis, MO",OLD,"$122,800",3bd,2ba,"1,512 sqft"
6208 Greer Ave,"Saint Louis, MO",OLD,"$29,900",2bd,1ba,972 sqft
4416 Jennings Station Rd,"Saint Louis, MO",OLD,"$29,900",2bd,1ba,900 sqft
4204 Oakwood Ave,"Saint Louis, MO",OLD,"$29,900",2bd,1ba,816 sqft
4005 Jennings Station Rd,"Saint Louis, MO",OLD,"$29,900",2bd,1ba,984 sqft
3853 Oakridge Blvd,"Saint Louis, MO",OLD,"$109,500",3bd,3ba,"1,236 sqft"
22 Muirfield Ln,"Saint Louis, MO",OLD,"$899,000",6bd,6ba,"5,011 sqft"
6223 Greer Ave,"Saint Louis, MO",OLD,"$29,900",2bd,1ba,936 sqft
719 Busch Ter,"Saint Louis, MO",OLD,"$599,900",5bd,4ba,"2,664 sqft"
4744 Wingwood Ct,"Saint Louis, MO",OLD,"$320,000",5bd,3ba,"2,325 sqft"
6624 Kenwood Dr,"Saint Louis, MO",OLD,"$45,000",2bd,2ba,"1,704 sqft"
3719 Manola Ave,"Saint Louis, MO",OLD,"$64,500",3bd,1ba,936 sqft
813 N Elm Ave,"Saint Louis, MO",OLD,"$115,000",2bd,1ba,"1,092 sqft"
7033 Rohn Dr,"Saint Louis, MO",OLD,"$73,000",2bd,1ba,875 sqft
4603 Edgewood Blvd,"Saint Louis, MO",OLD,"$29,900",2bd,1ba,918 sqft
230 Wedge Dr,"Saint Louis, MO",OLD,"$104,900",2bd,1ba,"1,250 sqft"
480 N Warson Rd,"Saint Louis, MO",OLD,"$1,447,500",5bd,5ba,"4,478 sqft"
804 N Hills Dr,"Saint Louis, MO",AUCTION,"$134,900",5bd,3ba,"2,752 sqft"
9312 Harold Dr,"Saint Louis, MO",OLD,"$65,000",2bd,1ba,972 sqft
4410 Saint William Ct,"Saint Louis, MO",NEWAUCTION,Contact For Price,3bd,1ba,936 sqft
10515 Renfrew Dr,"Saint Louis, MO",OLD,"$60,000",3bd,2ba,854 sqft
3718 Hoffmeister Ave,"Saint Louis, MO",OLD,"$179,900",3bd,3ba,"1,406 sqft"
1115 Collingwood Dr,"Saint Louis, MO",OLD,"$549,000",4bd,3ba,"2,376 sqft"
5699 Kerth Rd,"Saint Louis, MO",OLD,"$372,900",4bd,3ba,"1,835 sqft"
3987 Canterbury Dr,"Saint Louis, MO",OLD,"$260,000",3bd,2ba,"3,100 sqft"
27 Chafford Woods,"Saint Louis, MO",FOR SALE BY OWNER,"$420,000",3bd,1ba,"1,452 sqft"
3712 Avondale Ave,"Saint Louis, MO",OLD,"$29,900",2bd,3ba,638 sqft
8327 Gannon Ave,"Saint Louis, MO",OLD,"$399,900",3bd,3ba,"1,688 sqft"
8140 Kingsbury Blvd,"Saint Louis, MO",OLD,"$749,900",3bd,1ba,"2,422 sqft"
153 Grampian Rd,"Saint Louis, MO",OLD,"$55,000",3bd,1ba,881 sqft
138 Ben Nevis Rd,"Saint Louis, MO",OLD,"$50,000",3bd,2ba,873 sqft
2973 Christopher Dr,"Saint Louis, MO",FOR SALE BY OWNER,"$89,900",3bd,1ba,"1,100 sqft"
216 Presley Dr,"Saint Louis, MO",OLD,"$40,500",3bd,3ba,854 sqft
9848 Lorna Ln,"Saint Louis, MO",NEWAUCTION,Contact For Price,2bd,1ba,"1,032 sqft"
5446 Ivy Summit Ct,"Saint Louis, MO",OLD,"$299,000",2bd,2ba,"1,600 sqft"
247 Midlothian Rd,"Saint Louis, MO",OLD,"$52,000",3bd,2ba,998 sqft
10152 Shapfield Ln,"Saint Louis, MO",OLD,"$219,900",2bd,4ba,"1,315 sqft"
1207 Hoyt Dr,"Saint Louis, MO",OLD,"$42,000",2bd,8ba,880 sqft
514 Ridge Ave,"Saint Louis, MO",OLD,"$714,900",5bd,5ba,"3,075 sqft"
2 Devondale Ln,"Saint Louis, MO",NEW,"$2,579,000",9bd,2ba,"4,462 sqft"
11922 Sackston Ridge Dr,"Saint Louis, MO",OLD,"$879,995",4bd,1ba,"4,680 sqft"
9 Chaminade Dr,"Saint Louis, MO",OLD,"$549,000",3bd,2ba,"1,784 sqft"
7933 Alert Dr,"Saint Louis, MO",OLD,"$69,900",2bd,4ba,792 sqft
9154 Wood Ave,"Saint Louis, MO",OLD,"$112,000",3bd,4ba,"1,496 sqft"
12222 Ballas Ln #Tbb,"Saint Louis, MO",OLD,"$1,599,950",4bd,4ba,"4,250 sqft"
1083 Jennings Station Rd,"Saint Louis, MO",OLD,"$55,900",2bd,1ba,"1,191 sqft"
11505 Withersfield Dr,"Saint Louis, MO",OLD,"$135,000",3bd,2ba,"1,242 sqft"
2 Pricemont Dr,"Saint Louis, MO",OLD,"$1,230,000",5bd,6ba,"5,134 sqft"
1316 Cordata Dr,"Saint Louis, MO",OLD,"$826,615",3bd,4ba,"3,411 sqft"
1429 Craig Rd,"Saint Louis, MO",OLD,"$775,000",4bd,4ba,"3,911 sqft"
955 Evans Ave,"Saint Louis, MO",OLD,"$720,000",5bd,5ba,"2,971 sqft"
1325 Spring Snow Dr,"Saint Louis, MO",OLD,"$710,486",1bd,2ba,"2,080 sqft"
10815 Vorhof Dr,"Saint Louis, MO",FOR SALE BY OWNER,"$140,000",4bd,3ba,"1,015 sqft"
1 Bellendon Arbors Frontenac Dr,"Saint Louis, MO",OLD,"$679,900",3bd,4ba,"3,411 sqft"
2 Morris Place Ln,"Saint Louis, MO",FOR SALE BY OWNER,"$740,000",4bd,4ba,"4,100 sqft"
