,region,new,price,bedrm,bth,sqft
3629 Evergreen Ln,"Woodrige, Columbia, MO",OLD,"$180,000",3bd,3ba,"1,344 sqft"
5012 Kenora Dr,"Columbia, MO",OLD,"$504,900",5bd,3ba,"2,859 sqft"
2504 Vistaview Ter,"Columbia, MO",OLD,"$1,695,000",5bd,4ba,"7,352 sqft"
501 Lyon St,"Douglas Park, Columbia, MO",OLD,"$99,950",3bd,2ba,"1,254 sqft"
6407 Shallow River Dr,"Columbia, MO",OLD,"$479,000",5bd,3ba,"3,799 sqft"
4804 Garden Grove Dr,"Columbia, MO",OLD,"$450,000",4bd,4ba,"3,269 sqft"
4614 Copperstone Ct,"Columbia, MO",OLD,"$1,395,000",4bd,5ba,"5,948 sqft"
4405 Oakview Dr,"Columbia, MO",OLD,"$119,900",3bd,2ba,"1,400 sqft"
9970 E Bowling Ln,"Columbia, MO",OLD,"$1,200,000",6bd,5ba,"4,852 sqft"
3000 W Vawter School Rd,"Columbia, MO",OLD,"$1,490,000",4bd,6ba,"5,967 sqft"
5701 Thornbrook Pkwy,"Columbia, MO",NEWFOR SALE BY OWNER,"$539,000",5bd,4ba,"4,704 sqft"
1901 Lovejoy Ln,"Columbia, MO",OLD,"$199,000",3bd,2ba,"2,188 sqft"
Lot 502 W Snapdragon Dr,"Columbia, MO",OLD,"$349,900",4bd,3ba,"2,461 sqft"
2209 Silver Leaf Ct,"Columbia, MO",FOR SALE BY OWNER,"$210,000",3bd,2ba,"1,484 sqft"
2901 Crestwood Ln,"Columbia, MO",OLD,"$450,000",3bd,4ba,"3,998 sqft"
477 Bandon Dunes Ct,"Columbia, MO",OLD,"$492,500",4bd,3ba,"3,000 sqft"
Lot 311 Lavender Dr,"Columbia, MO",OLD,"$379,900",5bd,3ba,"2,590 sqft"
3100 W Old Field Rd,"Columbia, MO",OLD,"$3,200,000",5bd,7ba,"10,975 sqft"
1473 N Lake Of The Woods Rd,"Columbia, MO",OLD,"$229,900",4bd,2ba,"2,230 sqft"
507 W Worley St,"Worley Street Park, Columbia, MO",OLD,"$128,500",2bd,1ba,790 sqft
6104 Bentpath Dr,"Columbia, MO",OLD,"$895,000",6bd,5ba,"6,273 sqft"
311 W 6th St,"Fulton, MO",OLD,"$74,900",6bd,2ba,"1,428 sqft"
713 Ridgeway Ave,"Worley Street Park, Columbia, MO",OLD,"$94,900",3bd,1ba,"1,106 sqft"
4517 Waterloo Dr,"Columbia, MO",OLD,"$92,900",3bd,2ba,"1,275 sqft"
1221 Tartan Pl,"Columbia, MO",OLD,"$650,000",5bd,5ba,"5,002 sqft"
4608 Bradington Dr,"Columbia, MO",OLD,"$650,000",5bd,4ba,"3,925 sqft"
Lot 114 W Swather Ct,"Columbia, MO",NEW,"$347,900",4bd,2ba,"1,869 sqft"
6020 Dornagh Ct,"Columbia, MO",OLD,"$709,900",5bd,7ba,"6,196 sqft"
10001 E Saint Charles Rd,"Columbia, MO",OLD,"$1,295,000",10bd,6ba,"8,760 sqft"
2405 Snowberry Cir,"Columbia, MO",OLD,"$1,000,000",6bd,6ba,"6,862 sqft"
4314 Glen Eagle Dr,"Columbia, MO",OLD,"$510,000",4bd,4ba,"4,279 sqft"
142 Bailey Dr,"Bedford Walk, Columbia, MO",OLD,"$389,900",3bd,2ba,"1,951 sqft"
1701 Dunhill Way,"Columbia, MO",OLD,"$360,000",3bd,2ba,"2,496 sqft"
821 W Worley St,"Worley Street Park, Columbia, MO",OLD,"$100,000",2bd,1ba,758 sqft
5010 Steeplechase Dr,"Columbia, MO",OLD,"$549,900",4bd,4ba,"4,728 sqft"
2605 Stratford Chase Pkwy,"Shepard Boulevard, Columbia, MO",OLD,"$418,428",5bd,4ba,"3,675 sqft"
1461 S Berkley Dr,"Columbia, MO",OLD,"$289,900",3bd,3ba,"1,960 sqft"
460 E Cedar Ct,"Columbia, MO",OLD,"$159,900",3bd,3ba,"1,391 sqft"
2903 Gene Dr,"Columbia, MO",OLD,"$175,000",3bd,2ba,"1,683 sqft"
5260 N Liddell Ln,"Columbia, MO",OLD,"$365,000",3bd,3ba,"2,847 sqft"
3801 Amaryllis Ct,"Smithton Ridge, Columbia, MO",OLD,"$329,000",3bd,2ba,"2,146 sqft"
210 Lynn St,"Douglas Park, Columbia, MO",OLD,"$115,000",3bd,2ba,"1,092 sqft"
1906 Kingsbridge Dr,"Columbia, MO",OLD,"$485,000",3bd,3ba,"3,080 sqft"
1600 Woodrail Ave,"Columbia, MO",OLD,"$1,195,000",4bd,7ba,"7,802 sqft"
303 W Blvd S,"Columbia, MO",OLD,"$1,431,000",5bd,4ba,"4,811 sqft"
Scott Blvd #44,"Columbia, MO",OLD,"$599,000",5bd,4ba,"3,590 sqft"
Lot 120 W Swather Ct,"Columbia, MO",NEW,"$317,900",3bd,2ba,"1,601 sqft"
2617 Bailey Dr,"Bedford Walk, Columbia, MO",OLD,"$449,900",3bd,2ba,"2,250 sqft"
L123 Bradington Dr,"Columbia, MO",OLD,"$499,900",4bd,3ba,"2,453 sqft"
3500 Sierra Madre,"Rockbridge, Columbia, MO",FOR SALE BY OWNER,"$156,500",4bd,2ba,"1,794 sqft"
312 Bryant St,"Douglas Park, Columbia, MO",OLD,"$105,900",3bd,1ba,"1,016 sqft"
1311 Stonehaven Rd,"Columbia, MO",OLD,"$2,500,000",4bd,5ba,"6,500 sqft"
7004 Armstrong Dr,"Columbia, MO",OLD,"$409,900",5bd,4ba,"2,958 sqft"
504 Oak St,"Douglas Park, Columbia, MO",OLD,"$87,500",2bd,1ba,672 sqft
3629 Evergreen Ln #3629,"Woodrige, Columbia, MO",FOR SALE BY OWNER,"$180,000",3bd,3ba,"1,344 sqft"
4407 Alan Ln,"Columbia, MO",OLD,"$105,000",3bd,1ba,960 sqft
1000 Madison St,"Columbia, MO",OLD,"$117,500",3bd,1ba,884 sqft
3505 Yellowwood Dr,"Columbia, MO",FOR SALE BY OWNER,"$228,000",3bd,2ba,"1,500 sqft"
5712 Geyser Blvd,"Columbia, MO",OLD,"$189,750",3bd,2ba,"1,518 sqft"
1146 Shore Acres Loop,"Columbia, MO",OLD,"$294,900",3bd,2ba,"1,600 sqft"
3706 Hunter Valley Dr,"Columbia, MO",OLD,"$1,195,000",6bd,6ba,"7,442 sqft"
1301 Stablestone Ln,"Columbia, MO",FOR SALE BY OWNER,"$599,000",5bd,4ba,"4,322 sqft"
806 Audubon Dr,"Moon Valley Heights, Columbia, MO",OLD,"$949,000",4bd,5ba,"8,555 sqft"
1605 Brookfield Mnr,"Columbia, MO",OLD,"$595,000",6bd,5ba,"6,379 sqft"
4908 Longbow Dr,"Columbia, MO",OLD,"$287,500",3bd,2ba,"1,600 sqft"
106 Gondolier Dr,"Columbia, MO",OLD,"$233,800",2bd,2ba,"1,410 sqft"
7 3rd Ave,"Ridgeway, Columbia, MO",OLD,"$130,000",3bd,2ba,"1,182 sqft"
10775 E Mexico Gravel Rd,"Columbia, MO",OLD,"$885,000",4bd,3ba,"3,154 sqft"
9 3rd Ave,"Ridgeway, Columbia, MO",OLD,"$130,000",3bd,2ba,"1,182 sqft"
4810 E Saint Charles Rd,"Columbia, MO",OLD,"$475,000",4bd,2ba,"2,349 sqft"
507 N Providence Rd,"Douglas Park, Columbia, MO",OLD,"$74,900",2bd,1ba,882 sqft
Lot 11 Woodstrail Ridge Ct,"Columbia, MO",OLD,"$274,900",4bd,3ba,"2,125 sqft"
2511 N Leisurely Way,"Columbia, MO",FOR SALE BY OWNER,"$137,000",2bd,1ba,"1,104 sqft"
412 N West Blvd,"West Ash, Columbia, MO",OLD,"$124,950",3bd,1ba,960 sqft
713 Cook Ave,"Worley Street Park, Columbia, MO",OLD,"$118,000",2bd,1ba,755 sqft
2606 Grand Banks Dr,"Northland-Parker, Columbia, MO",BANK OWNED,Contact For Price,3bd,2ba,"1,458 sqft"
2503 Chelan Cir,"Columbia, MO",OLD,"$689,000",4bd,4ba,"4,130 sqft"
Lot 436 Muirwood Ct,"Columbia, MO",OLD,"$265,500",3bd,2ba,"1,815 sqft"
6180 Hummingbird Ln,"Columbia, MO",OLD,"$189,900",3bd,3ba,"1,425 sqft"
5456 Roscoe Rdg,"Columbia, MO",OLD,"$425,000",4bd,3ba,"2,290 sqft"
5801 Geyser Blvd,"Columbia, MO",OLD,"$189,750",3bd,2ba,"1,518 sqft"
1400 Hunt Ct,"Columbia, MO",OLD,"$159,900",3bd,1ba,"1,056 sqft"
4916 Longbow Dr,"Columbia, MO",OLD,"$324,900",3bd,2ba,"1,732 sqft"
4690 N Highway Pp,"Columbia, MO",OLD,"$549,900",3bd,3ba,"2,200 sqft"
12 S Allen St,"Douglas Park, Columbia, MO",OLD,"$104,900",3bd,1ba,888 sqft
5498 Kedzie Ct,"Columbia, MO",OLD,"$425,000",4bd,3ba,"2,469 sqft"
7980 N Glen Meadow Dr,"Columbia, MO",OLD,"$163,900",3bd,3ba,"1,394 sqft"
Lot 30 Waxwing Ct,"Columbia, MO",OLD,"$269,900",3bd,2ba,"1,615 sqft"
5733 Geyser Blvd,"Columbia, MO",OLD,"$194,000",3bd,2ba,"1,552 sqft"
2704 Bristol Lake Dr,"Columbia, MO",OLD,"$695,000",4bd,5ba,"4,868 sqft"
5813 Geyser Blvd,"Columbia, MO",OLD,"$194,000",3bd,2ba,"1,552 sqft"
6201 E Robin Ln,"Columbia, MO",OLD,"$105,900",3bd,1ba,988 sqft
5805 Geyser Blvd,"Columbia, MO",OLD,"$194,000",3bd,2ba,"1,552 sqft"
Lot 6 Sassafras Ct,"Columbia, MO",OLD,"$264,900",3bd,2ba,"1,568 sqft"
4208 Interstate Highway 70 Dr SW,"Columbia, MO",OLD,"$645,000",5bd,6ba,"3,904 sqft"
5809 Geyser Blvd,"Columbia, MO",OLD,"$189,750",3bd,2ba,"1,518 sqft"
2313 Deer Creek Ct,"Columbia, MO",OLD,"$599,900",4bd,5ba,"4,868 sqft"
305 S West Blvd,"Columbia, MO",OLD,"$1,431,000",3bd,2ba,"2,240 sqft"
Lot 5 Sassafras Ct,"Columbia, MO",OLD,"$267,900",3bd,2ba,"1,615 sqft"
414 Kapalua Ct,"Columbia, MO",OLD,"$527,500",4bd,3ba,"2,915 sqft"
1516 S Mesa Dr,"Columbia, MO",BANK OWNED,Contact For Price,3bd,2ba,"1,350 sqft"
3813 Canyon Ridge Dr,"Columbia, MO",OLD,"$252,400",3bd,2ba,"1,503 sqft"
Lot 3 Sassafras Ct,"Columbia, MO",OLD,"$264,900",3bd,2ba,"1,520 sqft"
1035 E Shore Acres Loop,"Columbia, MO",OLD,"$309,900",3bd,2ba,"1,600 sqft"
5924 Screaming Eagle Ln,"Columbia, MO",OLD,"$725,000",3bd,5ba,"4,513 sqft"
4931 Kenora Dr,"Columbia, MO",OLD,"$345,000",3bd,2ba,"1,873 sqft"
1101 Marcassin Dr,"Columbia, MO",OLD,"$574,900",4bd,3ba,"3,563 sqft"
5452 Heath Ct,"Columbia, MO",OLD,"$449,000",4bd,3ba,"2,651 sqft"
Lot 435 Muirwood Ct,"Columbia, MO",OLD,"$259,900",3bd,2ba,"1,770 sqft"
301 S West Blvd,"Columbia, MO",OLD,"$1,431,000",3bd,2ba,"2,116 sqft"
1105 Marcassin Dr,"Columbia, MO",OLD,"$579,900",4bd,3ba,"3,626 sqft"
4909 Ballyneal Ct,"Columbia, MO",OLD,"$442,500",4bd,3ba,"2,630 sqft"
2305 Holly Ave,"Columbia, MO",OLD,"$179,900",3bd,2ba,"1,400 sqft"
159 Bailey Dr,"Bedford Walk, Columbia, MO",NEW,"$379,900",3bd,2ba,"1,840 sqft"
146 Bailey Dr,"Bedford Walk, Columbia, MO",NEW,"$449,900",4bd,3ba,"2,203 sqft"
Lot 518 W Snapdragon Dr,"Columbia, MO",NEW,"$274,900",3bd,2ba,"1,556 sqft"
3809 Ivanhoe Blvd,"Columbia, MO",NEW,"$300,000",3bd,3ba,"2,406 sqft"
Lot 456 Kiawah Ln,"Columbia, MO",NEW,"$414,900",4bd,3ba,"2,268 sqft"
5895 N Kent Dr,"Columbia, MO",NEW,"$152,500",4bd,2ba,"1,344 sqft"
2611 Belfair Ct,"Columbia, MO",NEW,"$359,000",4bd,4ba,"3,075 sqft"
24608 Highway 87,"California, MO",OLD,"$389,900",4bd,3ba,"4,136 sqft"
12936 Highway E Off,"Centralia, MO",OLD,"$210,500",5bd,3ba,"1,848 sqft"
301 Renee Dr,"Ashland, MO",OLD,"$265,000",4bd,3ba,"2,500 sqft"
7701 E Cedar Hills Rd,"Ashland, MO",OLD,"$485,000",6bd,5ba,"5,296 sqft"
725 S Central St,"Centralia, MO",FOR SALE BY OWNER,"$159,000",2bd,2ba,"1,124 sqft"
