,region,new,price,bedrm,bth,sqft,crime,typ_val,val_pct,typ_sqft,sqft_pct,eschl,mschl,hschl,bsmnt,gas,forsdair,elctric,solar,dayonmark,yrbuilt,update,stories,n_rooms,garage,pp_sqft,roof,floors,exterior,lot_sz,prk_spc,parking,hoa_fee,sec_sys,pool,list_cnt,assess
3412 Forest Ave,Kansas City,0,119900.0,2,1,1838,4,138376.0,-13.0,99.0,-34.0,1,1,1,1,1,1,0,0,40.0,1915.0,0,1,3,0,65.0,1,2,8,3253.0,2.2,0,0,0,0,9,0
3416 Park Ave,Kansas City,1,74950.0,3,2,1436,1,138376.0,-46.0,99.0,-47.0,1,1,1,1,1,1,0,0,51.0,1908.0,1,2,5,0,52.0,1,0,8,3920.0,2.2,0,0,0,0,6,0
342 Fork Dr,Saint Louis,1,70000.0,3,2,1256,1,62719.0,12.0,64.0,-13.0,0,0,1,1,1,1,0,0,9.0,1922.0,1,1,6,1,56.0,3,0,5,1256.0,1.0,3,0,0,0,12,0
3420 S Kickapoo Ave,Springfield,0,210000.0,3,2,3661,1,186454.0,13.0,112.0,-49.0,1,1,1,1,1,1,0,0,50.0,1975.0,0,1,10,1,57.0,0,7,7,10018.0,2.0,3,0,0,0,9,0
3428 Vista Ave,Saint Louis,0,402000.0,3,3,2135,1,254750.0,58.0,142.0,33.0,1,2,1,0,0,0,0,0,38.0,1901.0,0,2,6,0,188.0,1,0,0,3920.0,2.2,0,0,0,0,1,0
3428 W Sexton St,Springfield,1,269900.0,4,3,2320,1,241106.0,12.0,117.0,-1.0,1,1,1,1,0,1,1,0,2.0,1978.0,0,1,7,1,116.0,1,7,8,2320.0,2.0,3,25,0,1,1,0
3429 Osage St,Saint Louis,1,45000.0,1,1,635,5,148991.0,-70.0,116.0,-39.0,1,1,1,1,1,1,0,0,3.0,1890.0,1,1,2,0,71.0,1,0,6,3584.0,2.2,0,0,0,0,3,0
343 N Homewood Ave,Springfield,1,71000.0,2,1,1200,3,129720.0,-45.0,125.0,-53.0,1,2,1,1,1,1,0,0,4.0,1932.0,0,2,5,1,59.0,1,0,5,1200.0,1.0,3,0,0,0,1,0
3430 Lone Elm Dr,Saint Louis,0,284000.0,3,2,1819,1,152205.0,87.0,140.0,12.0,1,1,1,0,1,1,0,0,180.0,1969.0,0,1,7,1,156.0,1,2,5,1819.0,2.0,3,20,0,0,6,0
3433 W Sayer Dr,Springfield,0,299900.0,4,2,2068,1,117917.0,154.0,93.0,56.0,0,0,1,0,0,1,0,0,31.0,2020.0,0,2,6,1,145.0,1,2,7,2068.0,2.2,3,0,0,0,1,0
3440 Santiago Dr,Saint Louis,0,169900.0,3,2,1332,1,146703.0,16.0,105.0,21.0,1,1,1,0,1,1,0,0,14.0,1965.0,0,1,5,1,128.0,1,2,8,9191.0,2.0,3,0,0,0,3,0
3442 Potomac St,Saint Louis,1,117000.0,4,2,2002,4,148991.0,-21.0,116.0,-50.0,1,1,1,1,1,1,0,0,8.0,1914.0,1,2,7,0,58.0,1,2,5,3092.0,2.2,2,0,1,0,1,0
3445 Itaska St,Saint Louis,0,80000.0,3,1,1743,4,88071.0,-9.0,77.0,-40.0,1,1,1,1,0,1,1,0,32.0,1905.0,1,1,4,0,46.0,1,2,5,2570.0,2.2,0,0,0,0,1,0
3446 N Garfield Ave,Kansas City,0,249950.0,2,3,2090,1,181427.0,38.0,248.0,-52.0,1,1,1,1,1,1,0,0,24.0,1998.0,0,2,5,1,120.0,1,2,8,10798.0,2.0,1,16,0,0,2,0
3448 E Catalpa St,Springfield,1,285000.0,3,3,3078,1,313316.0,-9.0,120.0,-23.0,1,1,1,1,0,1,0,0,18.0,1979.0,1,3,6,1,93.0,1,7,8,3078.0,2.0,3,2970,0,1,7,0
345 Upper Conway Estates Ct,Saint Louis,0,1772760.0,3,4,3536,1,495319.0,258.0,198.0,153.0,1,1,1,0,1,1,0,0,46.0,2020.0,0,1,7,1,501.0,1,2,5,1.0,3.0,3,0,1,0,1,0
3452 N Bales Ave,Kansas City,1,168500.0,3,3,1680,1,148447.0,14.0,137.0,-27.0,1,1,1,1,1,1,0,0,6.0,1938.0,0,1,6,1,100.0,1,2,7,10890.0,1.0,3,0,0,0,7,0
3452 S Westwood Ave,Springfield,0,190000.0,4,2,1946,1,156720.0,21.0,109.0,-10.0,1,1,1,0,0,1,0,0,78.0,1972.0,0,1,6,1,98.0,1,7,5,10454.0,2.0,3,0,0,0,2,0
3454 Macklind Ave,Saint Louis,1,95000.0,1,1,570,1,175482.0,-15.149012567324956,166.0,-46.0,1,1,1,1,1,1,0,0,75.0,1922.0,1,1,5,0,167.0,3,0,5,3660.0,2.2,0,0,0,0,1,0
3456 Humphrey St,Saint Louis,0,520000.0,4,4,3400,4,148991.0,249.0,116.0,32.0,1,1,1,1,1,1,0,0,147.0,1909.0,1,2,8,0,153.0,1,7,5,3963.0,2.2,0,0,0,0,8,0
3461 S Grand Blvd,Saint Louis,0,25000.0,2,1,734,5,148991.0,-83.0,116.0,-71.0,1,1,1,1,0,0,0,0,73.0,1884.0,1,1,3,1,34.0,1,2,5,3484.0,4.0,3,0,0,0,2,1
3466 N Prince Ln,Springfield,1,425550.0,4,3,4032,1,117917.0,261.0,93.0,13.0,1,1,1,1,0,0,0,0,21.0,2002.0,0,2,7,1,106.0,1,7,0,4032.0,0.0,3,0,0,0,12,0
3466 S Spring Ave,Saint Louis,0,255000.0,3,3,1592,2,139291.0,83.0,131.0,22.0,1,1,1,0,0,1,1,0,52.0,1905.0,0,2,6,0,160.0,1,2,7,6446.0,2.0,2,0,0,0,2,0
3475 S Kickapoo Ave,Springfield,0,160000.0,3,2,1402,1,186454.0,-14.0,112.0,2.0,1,1,1,1,1,1,0,0,46.0,1987.0,0,1,8,1,114.0,1,7,7,6098.0,2.0,3,10,0,0,2,0
348 Fannie Ave,Saint Louis,0,134900.0,2,6,1092,1,152205.0,-11.0,140.0,-12.0,1,1,1,0,1,1,0,0,134.0,1938.0,1,1,5,1,124.0,1,2,5,6403.0,2.0,3,0,0,0,8,0
35 Deerfield Ln,Saint Louis,0,253000.0,3,3,1428,1,257082.0,-2.0,155.0,14.0,1,1,1,0,1,1,0,0,64.0,1959.0,0,1,7,0,177.0,1,2,5,1428.0,2.0,2,10,0,0,2,0
3500 Elmhurst Dr,Saint Louis,1,214900.0,4,3,2528,1,50139.0,329.0,49.0,73.0,0,0,1,1,1,1,0,0,61.0,1950.0,1,2,12,1,85.0,1,7,5,2528.0,3.0,3,0,1,0,7,0
3500 Sierra Madre,Columbia,1,156500.0,4,2,1794,1,254792.0,-39.0,128.0,-32.0,1,1,1,1,0,0,1,0,180.0,1979.0,0,2,7,1,87.0,3,0,4,8398.0,3.0,3,0,0,0,9,0
3503 Marian Way Ct,Saint Louis,1,279000.0,3,3,1907,1,251761.0,11.0,149.0,-2.0,1,1,1,0,1,1,0,0,3.0,1992.0,0,1,7,1,146.0,1,2,7,7840.0,2.0,3,14,0,0,3,0
3505 Pine Grove Ave,Saint Louis,1,95000.0,3,2,1680,1,50139.0,89.0,49.0,15.0,0,0,1,0,1,1,0,0,5.0,1926.0,0,2,6,1,57.0,1,2,5,10149.0,1.0,3,0,0,0,2,0
3505 Yellowwood Dr,Columbia,1,228000.0,3,2,1500,1,172020.0,33.0,108.0,41.0,1,1,1,1,1,1,0,0,132.0,2018.0,0,1,8,1,152.0,1,7,5,9574.0,2.0,3,18,0,0,15,0
3510 Garner Ave,Kansas City,0,145000.0,3,2,1536,4,86522.0,68.0,81.0,17.0,1,1,1,1,1,1,0,0,8.0,1900.0,0,2,5,0,94.0,1,0,8,4286.0,2.2,0,0,0,0,3,0
3510 Vista Pl,Columbia,0,179000.0,3,3,1707,1,172020.0,4.0,108.0,-3.0,1,1,1,1,1,1,1,0,58.0,1972.0,0,2,7,1,105.0,1,7,7,5767.0,2.0,3,0,0,0,2,0
3511 Deer Run Dr,Columbia,0,225000.0,4,3,2092,1,172020.0,44.66945606694561,108.0,31.0,1,1,1,1,1,1,1,0,90.0,1978.0,0,2,7,1,108.0,1,7,5,2092.0,2.0,3,0,0,0,1,0
3511 Wyoming St,Saint Louis,1,485000.0,4,3,2668,4,148991.0,226.0,116.0,57.0,1,2,1,1,1,1,1,0,6.0,1906.0,1,2,7,1,182.0,1,2,0,4051.0,2.0,2,0,0,0,3,0
3514 N Wabash Ave,Kansas City,0,287000.0,3,2,1990,1,181427.0,58.0,248.0,-42.0,1,1,1,1,1,1,0,0,10.0,1995.0,0,3,7,1,144.0,1,2,8,10044.0,3.0,3,12,0,0,1,0
3514 NE 48th St,Kansas City,0,220000.0,4,2,1906,1,176650.0,25.0,135.0,-15.0,1,2,1,1,1,1,0,0,56.0,1960.0,0,1,6,1,115.0,1,0,8,10454.0,2.0,3,2,0,0,2,0
3520 Cherry St,Kansas City,0,325000.0,4,4,2069,2,138376.0,135.0,99.0,59.0,1,1,1,1,0,1,0,1,99.0,1910.0,0,2,8,1,157.0,1,2,6,6534.0,2.0,3,0,0,1,6,0
3521 Tracy Ave,Kansas City,0,380000.0,3,3,3010,4,138376.0,175.0,99.0,28.0,1,1,1,0,0,1,1,0,180.0,1996.0,0,2,6,1,126.0,1,0,6,6830.0,2.0,3,0,0,0,2,0
3521 Tracy Ave,Kansas City,0,380000.0,3,3,3010,4,138376.0,175.0,99.0,28.0,1,1,1,0,0,1,1,0,180.0,1996.0,0,2,6,1,126.0,1,2,7,6830.0,2.0,3,0,0,0,2,0
3525 Tracy Ave,Kansas City,0,380000.0,3,3,2210,4,138376.0,175.0,99.0,74.0,1,1,1,0,0,1,1,0,180.0,1996.0,0,2,6,1,172.0,1,0,7,6830.0,2.0,3,0,0,0,2,0
3526 E Farm Road Ln #127,Springfield,0,239900.0,3,1,1853,1,313316.0,-23.0,120.0,8.0,0,0,1,0,1,1,0,0,104.0,1960.0,0,1,4,1,129.0,1,3,7,1.0,2.0,3,0,0,0,1,0
3526 N Farm Road 127,Springfield,0,239900.0,3,1,2153,1,117917.0,103.0,93.0,20.0,0,0,1,0,1,1,0,0,54.0,1960.0,0,1,5,1,111.0,1,3,7,1.0,2.0,3,0,0,0,1,0
3527 Indiana Ave,Kansas City,0,64950.0,3,1,1102,1,49332.0,32.0,44.0,34.0,1,1,1,1,1,1,0,0,11.0,1922.0,1,1,7,0,59.0,1,0,8,3920.0,2.2,3,0,0,0,4,0
3528 Vista Ave,Saint Louis,1,379900.0,3,3,1800,2,254750.0,49.0,142.0,49.0,1,2,1,0,1,1,0,0,1.0,1905.0,0,2,6,1,211.0,1,0,5,4181.0,2.0,3,250,0,0,0,0
3533 Paris Ave,Saint Louis,1,10500.0,3,1,1426,5,22461.0,-53.0,23.0,-68.0,1,0,1,1,0,0,0,0,32.0,1909.0,1,2,4,0,7.0,1,7,0,3500.0,2.2,0,0,0,0,4,0
3538 Vista Ave,Saint Louis,1,429900.0,4,3,2300,2,254750.0,69.0,142.0,32.0,1,2,1,0,1,1,0,0,1.0,1907.0,0,2,7,1,187.0,1,0,5,4181.0,2.0,3,250,0,0,0,0
3541 Harrison Blvd,Kansas City,0,489500.0,4,3,3170,4,138376.0,254.0,99.0,56.0,1,1,1,1,1,1,0,0,85.0,1908.0,0,3,7,1,154.0,1,2,4,6969.0,2.0,3,0,0,0,2,0
3555 W Camelot St,Springfield,0,245000.0,3,2,1550,1,156720.0,56.0,109.0,45.0,1,1,1,0,0,1,0,0,24.0,2020.0,0,1,5,1,158.0,1,7,7,10890.0,2.2,3,0,0,0,1,0
3563 W Camelot St,Springfield,0,245000.0,3,2,1550,1,156720.0,56.0,109.0,45.0,1,1,1,0,0,1,0,0,24.0,2020.0,0,1,5,1,158.0,1,2,7,10890.0,2.2,3,0,0,0,1,0
3571 W Camelot St,Springfield,0,245000.0,3,2,1550,1,156720.0,56.0,109.0,45.0,1,1,1,0,0,1,0,0,23.0,2020.0,0,1,5,1,158.0,1,7,6,10890.0,2.2,3,0,0,0,1,0
3579 W Camelot St,Springfield,0,247900.0,3,2,1550,1,156720.0,58.0,109.0,47.0,1,1,1,0,0,1,0,0,23.0,2020.0,0,1,5,1,160.0,1,0,5,10890.0,2.2,3,0,0,0,1,0
3587 S Forestdale St,Springfield,0,374900.0,4,4,3870,1,313316.0,20.0,120.0,-19.0,1,1,1,1,1,1,0,0,47.0,1992.0,0,2,11,1,97.0,1,7,6,3870.0,3.0,3,15,1,0,2,0
3603 E 57th St,Kansas City,0,65000.0,4,2,1420,2,53127.0,22.0,51.0,-10.0,1,1,1,1,1,1,0,0,154.0,1927.0,0,1,6,1,46.0,1,0,7,8106.0,1.0,1,0,0,0,6,0
3604 Cambridge Ave,Saint Louis,1,249900.0,4,2,1758,1,198492.0,26.0,167.0,-15.0,2,1,1,0,1,1,0,0,4.0,1912.0,0,2,8,1,142.0,1,0,5,8102.0,2.0,3,0,0,0,1,1
3605 E Loren St,Springfield,0,299900.0,4,3,3696,1,313316.0,-4.0,120.0,-32.0,1,1,1,1,1,1,0,0,124.0,1996.0,0,1,5,1,81.0,1,7,5,10890.0,2.0,3,91,1,0,6,0
3606 Evergreen Ln,Columbia,0,173000.0,3,3,1872,1,201679.0,-14.0,119.0,-22.0,1,1,1,1,0,1,0,1,61.0,1970.0,0,2,7,1,92.0,1,7,8,1872.0,2.0,3,0,0,0,1,0
3609 Eminence Blvd,Saint Louis,0,109900.0,2,2,880,1,95490.0,15.0,96.0,30.0,1,1,1,0,1,1,0,0,31.0,1923.0,1,1,6,1,125.0,1,2,5,5227.0,2.0,3,0,0,0,1,0
3609 NE 91st St,Kansas City,0,380500.0,3,2,1631,1,328807.0,16.0,159.0,47.0,1,1,1,0,1,1,0,0,180.0,2020.0,0,1,5,1,233.0,1,2,5,1631.0,3.0,3,39,0,1,1,0
3610 E 10th St,Kansas City,0,189999.0,5,3,2408,2,49441.0,284.0,45.0,75.0,1,1,1,1,1,1,0,0,74.0,1890.0,0,3,11,0,79.0,1,0,8,7069.0,2.2,3,0,0,0,22,0
3612 E 19th St,Kansas City,0,45000.0,2,1,1104,3,49441.0,-9.0,45.0,-9.0,1,1,1,1,0,1,0,0,16.0,1961.0,0,1,3,0,41.0,1,0,7,4996.0,2.2,0,0,0,0,3,0
3612 E 19th St,Kansas City,0,45000.0,2,1,1104,3,49441.0,-9.0,45.0,-9.0,1,1,1,1,0,1,0,0,16.0,1961.0,0,1,3,0,41.0,1,0,0,4996.0,2.2,0,0,0,0,3,0
3614 Pennsylvania Ave,Kansas City,0,699000.0,5,4,4919,2,254795.0,174.0,194.0,-27.0,1,1,1,1,1,1,0,0,180.0,1912.0,0,3,15,1,142.0,5,2,0,9147.0,2.0,3,0,1,0,4,0
3615 Falcon Ridge Ct,Saint Louis,0,285000.0,4,4,3732,1,251761.0,13.0,149.0,-49.0,1,1,1,0,1,1,0,0,16.0,1979.0,0,2,8,1,76.0,1,2,7,9147.0,2.0,3,0,0,0,1,0
3617 E Kensington Dr,Springfield,0,379900.0,5,3,3716,1,129720.0,193.0,125.0,-18.0,1,1,1,1,1,1,0,0,97.0,1994.0,0,2,10,1,102.0,1,7,0,3716.0,3.0,3,200,0,0,9,0
3618 Cleveland Ave,Kansas City,0,59000.0,3,1,860,1,49332.0,20.0,44.0,56.0,1,1,1,1,1,1,0,0,105.0,1902.0,1,1,8,0,69.0,1,0,7,4713.0,2.2,0,0,0,0,4,0
3619 Wabash Ave,Kansas City,0,55000.0,5,2,1727,4,138376.0,-60.0,99.0,-68.0,1,1,1,1,1,1,0,0,164.0,1900.0,0,3,7,1,32.0,1,0,4,4482.0,2.2,3,0,0,0,7,0
3619 Wabash Ave,Kansas City,0,55000.0,5,2,1727,4,138376.0,-60.0,99.0,-68.0,1,1,1,1,1,1,0,0,166.0,1900.0,0,3,7,1,32.0,1,0,4,4482.0,2.2,3,0,0,0,7,0
3621 Bales Ave,Kansas City,0,115000.0,3,1,2526,2,49332.0,133.0,44.0,3.0,1,1,1,1,1,1,0,0,23.0,1925.0,0,2,4,0,46.0,1,0,8,5614.0,2.2,0,0,0,0,1,0
3627 SW Crane Rd,Lees Summit,0,167000.0,3,1,1152,1,337199.0,-50.0,150.0,-3.0,1,1,1,1,1,0,0,0,64.0,1950.0,0,1,8,0,145.0,1,5,5,1152.0,2.2,0,0,0,0,8,0
3629 Evergreen Ln,Columbia,0,180000.0,3,3,1344,1,201679.0,-11.0,119.0,13.0,1,1,1,1,1,1,1,0,32.0,1970.0,0,2,5,1,134.0,3,7,7,1344.0,1.0,3,0,0,0,3,0
3629 Evergreen Ln #3629,Columbia,1,180000.0,3,3,1344,1,201679.0,-11.0,119.0,13.0,1,1,1,0,0,0,0,0,33.0,1970.0,0,2,6,1,134.0,3,7,0,1344.0,1.0,3,0,0,0,2,0
3631 Bales Ave,Kansas City,0,72800.0,3,1,1450,2,49332.0,48.0,44.0,14.0,1,1,1,1,0,1,1,0,180.0,1929.0,0,1,6,1,50.0,5,2,8,5667.0,1.0,3,0,0,0,4,0
3632 NE Basswood Dr,Lees Summit,0,449000.0,4,4,3399,1,334330.0,34.0,146.0,-10.0,1,1,1,1,1,1,0,0,21.0,1982.0,0,2,14,1,132.0,1,2,8,3399.0,2.0,3,145,0,1,24,0
3634 W Suzanne Pl,Springfield,0,339000.0,4,3,3622,1,241106.0,41.0,117.0,-20.0,1,1,1,1,1,1,1,0,72.0,1991.0,0,1,7,1,94.0,1,7,5,3622.0,3.0,3,33,0,0,1,0
3636 SW Crane Rd,Lees Summit,0,230000.0,4,3,2664,1,337199.0,-32.0,150.0,-42.0,1,1,1,1,1,1,0,0,71.0,1960.0,0,2,7,1,86.0,1,0,8,2664.0,2.0,3,0,0,0,8,0
3639 Wabash Ave,Kansas City,0,68700.0,3,1,2200,4,138376.0,-50.0,99.0,-68.0,1,1,1,1,1,1,0,0,180.0,1908.0,0,2,2,1,31.0,5,0,5,4356.0,1.0,3,0,0,0,3,0
3640 Alberta St,Saint Louis,0,92500.0,2,1,1178,3,139291.0,-34.0,131.0,-40.0,1,1,1,1,1,1,0,0,50.0,1907.0,1,1,3,0,79.0,1,2,5,4748.0,2.2,0,0,0,0,1,0
3640 Cleveland Ave,Kansas City,1,25000.0,2,1,1656,1,49332.0,-49.0,44.0,-66.0,1,1,1,1,0,1,0,0,6.0,1922.0,0,1,3,1,15.0,1,0,8,5283.0,1.0,3,0,0,0,4,0
3640 Cleveland Ave,Kansas City,1,25000.0,2,1,1656,1,49332.0,-49.0,44.0,-66.0,1,1,1,1,0,1,0,0,8.0,1922.0,0,1,3,1,15.0,1,0,8,5283.0,1.0,3,0,0,0,4,0
3640 Garfield Ave,Saint Louis,0,145000.0,4,2,1800,4,145000.0,11.217948717948717,1494.222956234517,209865.0,1,1,1,0,1,1,0,0,62.0,1893.0,1,2,6,1,81.0,1,2,5,3480.0,2.0,3,0,0,0,5,0
3642 Morganford Rd,Saint Louis,0,525000.0,1,4,3868,2,139291.0,277.0,131.0,4.0,1,1,1,1,1,1,0,0,180.0,1890.0,1,2,5,1,136.0,2,2,5,3868.0,4.0,3,0,0,0,3,0
3646 Salena St,Saint Louis,1,59000.0,2,1,900,4,148991.0,-60.0,116.0,-43.0,1,1,1,1,1,1,0,0,180.0,1894.0,1,1,3,0,66.0,0,7,5,2178.0,2.0,3,0,0,0,19,0
3647 E Prestwick Ct,Springfield,0,599900.0,4,4,4155,1,313316.0,91.0,120.0,20.0,3,1,1,0,1,1,0,0,180.0,1994.0,0,2,7,1,144.0,3,7,0,4155.0,3.0,3,120,0,0,8,0
3648 Flad Ave,Saint Louis,0,379000.0,5,3,1950,2,250488.0,51.0,156.0,25.0,1,2,1,0,1,1,0,0,96.0,1909.0,1,3,8,0,194.0,5,2,5,3571.0,2.2,0,0,0,0,3,0
3656 Salena St,Saint Louis,1,45000.0,3,2,1518,4,148991.0,-70.0,116.0,-74.0,1,1,1,1,0,0,0,0,9.0,1907.0,1,2,5,0,30.0,1,7,0,1568.0,2.2,0,0,0,0,1,0
3660 W Watkins St,Springfield,1,175000.0,3,2,1386,1,129720.0,35.0,125.0,1.0,0,0,1,0,1,1,0,0,4.0,1978.0,0,1,6,1,126.0,1,0,5,1386.0,2.0,3,0,0,0,1,0
3671 McRee Ave,Saint Louis,1,335000.0,4,3,2500,1,250488.0,34.0,156.0,-14.0,1,2,1,0,0,0,0,0,18.0,1891.0,1,2,7,0,134.0,1,2,6,5588.0,2.2,0,0,0,0,5,0
3702 E 23rd St,Kansas City,0,40000.0,3,1,2112,3,49441.0,-19.0,45.0,-58.0,1,1,1,1,0,1,0,0,16.0,1920.0,0,2,4,0,19.0,1,0,8,4608.0,2.2,0,0,0,0,1,0
3702 E 23rd St,Kansas City,0,40000.0,3,1,2112,3,49441.0,-19.0,45.0,-58.0,1,1,1,1,0,1,0,0,16.0,1920.0,0,2,4,0,19.0,1,0,6,4608.0,2.2,0,0,0,0,1,0
3704 NW Old Stagecoach Rd #9,Kansas City,1,300969.0,3,2,1401,2,311861.0,-3.0,166.0,29.0,1,0,0,0,0,0,0,0,1.0,1964.0,0,1,5,0,215.0,1,7,0,1401.0,2.0,0,0,0,0,0,0
3704 NW Old Stagecoach Rd #9,Kansas City,1,300969.0,3,2,1401,2,311861.0,-3.0,166.0,29.0,1,0,0,0,0,0,0,0,1.0,1964.0,0,1,5,0,215.0,1,2,7,1401.0,2.0,0,0,0,0,0,0
3705 E Woodhue St,Springfield,0,564900.0,4,2,3400,1,129720.0,335.0,125.0,33.0,1,1,1,0,1,1,0,0,32.0,2020.0,0,1,6,0,166.0,1,7,8,7405.0,2.2,0,0,0,0,1,0
3706 Hunter Valley Dr,Columbia,0,1195000.0,6,6,7442,1,254792.0,369.0,128.0,25.0,1,1,1,1,1,1,0,0,180.0,2003.0,0,2,12,1,161.0,1,7,5,1.0,4.0,3,0,1,0,9,0
3707 E 68th St,Kansas City,1,94900.0,3,1,759,4,61927.0,53.0,58.0,116.0,1,1,1,1,1,1,0,0,7.0,1921.0,0,1,4,0,125.0,1,0,1,3741.0,2.2,0,0,0,0,1,0
3707 NE 91st St,Kansas City,0,373100.0,3,2,1637,1,328807.0,13.0,159.0,43.0,1,1,1,0,1,1,0,0,56.0,2020.0,0,1,5,1,228.0,1,2,8,4356.0,3.0,3,39,0,0,1,0
3710 N Boonville Ave,Springfield,0,226900.0,3,2,1761,1,117917.0,92.0,93.0,39.0,1,1,1,1,1,1,0,0,112.0,2008.0,0,2,5,1,129.0,1,7,3,10018.0,2.0,3,0,0,0,12,0
3711 S Spring Ave,Saint Louis,0,80000.0,2,2,1250,4,139291.0,-43.0,131.0,-51.0,1,1,1,0,1,1,0,0,60.0,1914.0,1,1,4,1,64.0,1,2,5,3746.0,2.0,3,0,0,0,8,0
3712 Avondale Ave,Saint Louis,0,29900.0,2,3,638,1,50139.0,-40.0,49.0,-4.0,0,0,1,0,1,1,0,0,180.0,1940.0,1,1,5,0,47.0,1,2,6,6664.0,0.0,0,0,0,0,5,0
3713 Courtois St,Saint Louis,0,129900.0,2,1,1068,1,182028.0,-29.0,157.0,-23.0,1,1,1,1,1,1,0,0,112.0,1950.0,1,1,3,1,122.0,3,2,0,6185.0,1.0,3,0,0,0,7,0
3714 Wyoming St,Saint Louis,0,415000.0,3,3,2538,3,139291.0,198.0,131.0,25.0,1,2,1,1,0,1,1,0,75.0,1905.0,1,2,6,0,164.0,1,2,5,4181.0,2.0,0,0,0,0,3,0
3716 NW Old Stagecoach Rd,Kansas City,1,322035.0,3,3,1789,2,311861.0,3.0,166.0,8.0,1,0,0,0,0,0,0,0,1.0,1964.0,0,1,6,0,180.0,1,0,0,1789.0,3.0,0,0,0,0,0,0
3716 NW Old Stagecoach Rd,Kansas City,1,322035.0,3,3,1789,2,311861.0,3.0,166.0,8.0,1,0,0,0,0,0,0,0,1.0,1964.0,0,1,6,0,180.0,1,7,8,1789.0,3.0,0,0,0,0,0,0
3717 E 21st St,Kansas City,0,127500.0,3,2,1334,3,49441.0,158.0,45.0,112.0,1,1,1,1,0,1,1,0,17.0,1939.0,0,1,5,1,96.0,1,0,0,4199.0,1.0,3,0,0,0,1,0
3718 Crescent Ave,Kansas City,1,117500.0,2,1,910,1,149973.0,-22.0,116.0,11.0,1,1,1,1,1,1,0,0,1.0,1957.0,0,1,3,1,129.0,1,0,3,910.0,1.0,1,0,0,0,1,0
3718 Crescent Ave,Kansas City,1,117500.0,2,1,910,1,149973.0,-22.0,116.0,11.0,1,1,1,1,1,1,0,0,3.0,1957.0,0,1,3,1,129.0,1,0,3,910.0,1.0,1,0,0,0,1,0
3718 Hoffmeister Ave,Saint Louis,0,179900.0,3,3,1406,1,152205.0,18.0,140.0,-9.0,1,1,1,1,1,1,0,0,44.0,1941.0,0,1,6,0,128.0,1,2,0,5183.0,2.2,0,0,0,0,12,0
3719 Manola Ave,Saint Louis,0,64500.0,3,1,936,1,50139.0,29.0,49.0,41.0,0,0,1,0,1,1,0,0,134.0,1928.0,0,1,5,1,69.0,1,2,7,7405.0,1.0,3,0,0,0,9,0
3721 N Sweet Water Ave,Springfield,1,268036.0,4,3,2654,2,117917.0,127.0,93.0,9.0,1,1,1,0,1,1,0,0,1.0,2020.0,0,1,7,1,101.0,1,7,6,8494.0,2.0,3,8,0,0,0,0
3722 Central St #2,Kansas City,0,275000.0,2,2,1030,4,254795.0,8.0,194.0,38.0,1,1,1,0,0,1,1,0,180.0,1963.0,0,2,4,1,267.0,1,7,5,6873.0,2.0,3,0,0,0,3,0
3722 Central St #2,Kansas City,0,275000.0,2,2,1030,4,254795.0,8.0,194.0,38.0,1,1,1,0,0,1,1,0,180.0,1963.0,0,2,4,1,267.0,1,2,5,6873.0,2.0,3,0,0,0,3,0
3722 NW 96th Ter #23,Kansas City,1,348535.0,3,2,1401,2,311861.0,12.0,166.0,50.0,0,0,1,0,0,0,0,0,1.0,2020.0,0,1,5,0,249.0,1,7,6,1401.0,2.0,0,0,0,0,0,0
3722 NW 96th Ter #23,Kansas City,1,348535.0,3,2,1401,2,311861.0,12.0,166.0,50.0,0,0,1,0,0,0,0,0,1.0,2020.0,0,1,5,0,249.0,1,7,5,1401.0,2.0,0,0,0,0,0,0
3726 Oregon Ave,Saint Louis,0,36900.0,1,1,932,4,148991.0,-75.0,116.0,-66.0,1,1,1,0,0,0,0,0,180.0,1884.0,1,1,2,1,40.0,1,0,8,3175.0,2.2,3,0,0,0,1,0
3727 NW 95th St,Kansas City,1,341560.0,4,2,2158,2,154112.0,122.0,120.0,32.0,1,2,1,0,0,0,0,0,1.0,2020.0,0,2,6,0,158.0,1,7,6,2158.0,3.0,0,0,0,0,0,0
3727 NW 95th St,Kansas City,1,341560.0,4,2,2158,2,154112.0,122.0,120.0,32.0,1,2,1,0,0,0,0,0,1.0,2020.0,0,2,6,0,158.0,1,6,0,2158.0,3.0,0,0,0,0,0,0
3728 Blow St,Saint Louis,0,82000.0,1,1,765,1,139291.0,-41.0,131.0,-18.0,1,1,1,1,1,1,0,0,113.0,1900.0,1,1,2,0,107.0,1,2,0,3571.0,2.2,0,0,0,0,10,0
3732 Elmwood Ave,Kansas City,0,72500.0,3,1,1325,1,49332.0,47.0,44.0,24.0,1,1,1,1,0,1,1,0,179.0,1956.0,0,1,4,0,55.0,5,0,7,7570.0,2.2,0,0,0,0,3,0
3732 NW Old Stagecoach Rd #16,Kansas City,1,307080.0,3,2,1401,2,311861.0,-2.0,166.0,32.0,0,0,1,0,0,0,0,0,1.0,1964.0,0,1,5,0,219.0,1,7,7,1401.0,2.0,0,0,0,0,0,0
3732 NW Old Stagecoach Rd #16,Kansas City,1,307080.0,3,2,1401,2,311861.0,-2.0,166.0,32.0,0,0,1,0,0,0,0,0,1.0,1964.0,0,1,5,0,219.0,1,2,6,1401.0,2.0,0,0,0,0,0,0
