,region,new,price,bedrm,bth,sqft,crime,typ_val,val_pct,typ_sqft,sqft_pct,eschl,mschl,hschl,bsmnt,gas,forsdair,elctric,solar,dayonmark,yrbuilt,update,stories,n_rooms,garage,pp_sqft,roof,floors,exterior,lot_sz,prk_spc,parking,hoa_fee,sec_sys,pool,list_cnt,assess
10196 Mayfair Dr,Saint Louis,0,16999.0,2,1,844,1,47819.0,-64.0,46.0,-56.0,0,0,1,0,1,1,0,0,180.0,1941.0,0,1,3,1,20.0,1,0,8,8232.0,2.0,3,0,0,0,20,1
102 SW Market St,Lees Summit,0,100000.0,2,1,893,1,216056.0,-54.0,154.0,-27.0,1,1,1,0,0,1,1,0,180.0,1940.0,0,1,3,1,112.0,1,0,8,893.0,1.0,3,0,0,0,1,0
1020 Crete Dr,Saint Louis,0,84900.0,3,2,1326,3,62719.0,-15.149012567324956,64.0,35.0,0,0,1,0,1,1,0,0,22.0,1952.0,1,1,6,1,64.0,1,0,0,5998.0,1.0,3,0,0,0,5,0
1020 W Madison St,Springfield,0,65000.0,2,1,1000,4,80090.0,-19.0,79.0,-18.0,1,1,1,1,1,1,0,0,41.0,1904.0,1,1,5,1,65.0,1,2,5,6969.0,1.0,3,0,0,0,8,0
1020 Westglen Dr,Saint Louis,0,178500.0,2,1,1000,1,251733.0,-29.0,173.0,3.0,1,1,1,1,1,0,0,0,47.0,1950.0,0,1,4,1,179.0,0,7,7,8712.0,1.0,3,0,1,0,5,0
1021 E 84th St,Kansas City,0,148000.0,2,1,1278,2,186241.0,-21.0,141.0,-18.0,1,1,1,1,1,1,0,0,34.0,1940.0,0,1,3,1,116.0,1,2,8,9679.0,1.0,1,0,0,0,8,0
1021 Schulte Rd,Saint Louis,0,268000.0,4,3,2627,1,257082.0,4.0,155.0,-34.0,1,1,1,0,1,1,0,0,49.0,1963.0,0,1,7,1,102.0,1,2,7,10201.0,2.0,3,15,0,0,1,0
10229 Imperial Dr,Saint Louis,0,52150.0,3,1,960,1,47819.0,9.0,46.0,18.0,0,0,1,0,1,1,0,0,32.0,1949.0,0,1,7,0,54.0,1,0,7,960.0,2.2,0,0,0,0,3,0
1024 W College St,Springfield,0,199900.0,3,2,2373,4,80090.0,150.0,79.0,7.0,1,2,1,1,0,0,0,0,66.0,1896.0,1,2,7,1,84.0,0,7,2,9583.0,2.0,2,0,0,0,1,0
10252 Count Dr,Saint Louis,0,52000.0,3,1,864,3,47819.0,9.0,46.0,31.0,0,0,1,1,1,1,0,0,106.0,1961.0,0,1,4,0,60.0,5,2,0,5183.0,2.2,0,0,0,0,3,0
1030 W 53rd Ter,Kansas City,0,2485000.0,4,7,7042,1,371379.0,569.0,246.0,43.0,2,1,1,1,1,1,0,0,180.0,1926.0,1,3,16,1,353.0,1,5,0,7042.0,2.0,3,14,0,0,3,0
10309 N Quincy Ave,Kansas City,0,319900.0,4,3,1,1,176650.0,81.0,135.0,236863.0,1,2,1,0,1,0,0,0,15.0,2020.0,0,1,7,1,319900.0,1,0,7,1.0,3.0,3,39,0,0,1,0
1031 N Forest Ave,Springfield,0,77900.0,3,1,976,3,129720.0,-40.0,125.0,-36.0,1,2,1,0,1,1,0,0,180.0,1967.0,0,1,2,1,80.0,0,7,7,6969.0,1.0,3,0,0,0,14,0
10311 E 38th Ter,Kansas City,0,129999.0,3,1,1115,1,149973.0,-13.0,116.0,1.0,1,1,1,1,1,1,0,0,15.0,1960.0,0,1,6,1,117.0,1,0,5,1115.0,2.0,3,0,0,0,8,0
10311 N Quincy Ave,Kansas City,0,319900.0,4,3,1,1,176650.0,81.0,135.0,236863.0,1,2,1,0,1,0,0,0,15.0,2020.0,0,1,7,1,319900.0,1,0,6,1.0,3.0,3,39,0,0,1,0
10313 Duke Dr,Saint Louis,1,69900.0,3,1,770,1,47819.0,46.0,46.0,97.0,0,0,1,1,0,1,0,0,84.0,1954.0,0,1,5,0,91.0,3,3,7,6490.0,1.0,0,0,0,0,1,0
1032 N Grant Ave,Springfield,0,74900.0,5,2,2313,5,129720.0,-42.0,125.0,-74.0,1,2,1,1,1,1,0,0,81.0,1886.0,0,2,5,1,32.0,1,7,8,7840.0,1.0,3,0,0,0,16,0
10327 Driver Ave,Saint Louis,0,119900.0,3,1,1065,1,95490.0,26.0,96.0,17.0,1,1,1,0,1,1,0,0,129.0,1943.0,1,1,6,1,113.0,1,6,7,9104.0,2.0,3,0,0,0,5,0
1033 SW Crossing Dr,Lees Summit,0,315000.0,2,3,2277,1,299186.0,5.0,140.0,-1.0,1,1,1,1,0,1,1,0,71.0,1996.0,0,2,5,1,138.0,1,2,8,7932.0,2.0,3,29,0,0,3,0
10333 Earl Dr,Saint Louis,1,74900.0,3,1,770,1,47819.0,57.0,46.0,111.0,0,0,1,1,0,1,1,0,87.0,1954.0,0,1,6,1,97.0,3,3,7,6490.0,2.2,3,0,0,0,1,0
1034 Bernice Ave,Saint Louis,1,315000.0,2,2,1323,1,375401.0,-16.0,218.0,9.0,1,1,1,1,1,1,0,0,7.0,1938.0,1,2,6,1,238.0,0,2,5,6141.0,1.0,3,0,0,0,1,0
10344 Earl Dr,Saint Louis,0,59900.0,4,1,1424,1,47819.0,25.0,46.0,-9.0,0,0,1,0,1,1,0,0,180.0,1954.0,1,1,6,0,42.0,1,2,0,6490.0,1.0,2,0,0,0,13,0
1035 E Shore Acres Loop,Columbia,0,309900.0,3,2,1600,1,201679.0,54.0,119.0,63.0,1,1,1,0,0,1,0,1,180.0,2020.0,0,1,5,1,194.0,1,7,1,1600.0,2.2,3,0,1,0,1,0
10359 W Florissant Ave,Saint Louis,0,350000.0,3,2,2379,1,47819.0,632.0,46.0,220.0,1,1,1,1,1,1,1,0,136.0,1937.0,1,1,7,1,147.0,1,2,5,5.0,9.0,3,0,0,1,2,0
1036 SW Armie St,Lees Summit,1,519161.0,3,3,3024,1,299186.0,74.0,140.0,23.0,1,1,1,0,1,1,0,0,3.0,1964.0,0,2,6,1,172.0,1,2,7,4948.0,2.0,3,62,0,0,3,0
