title,directed_by,produced_by,screenplay_by,based_on,starring,music_by,cinematography,edited_by,productioncompany,distributed_by,release_date,running_time,country,language,budget,box_office,story_by,productioncompanies,written_by,narrated_by
Burn,Mike Gan,Jordan Yale Levine Jordan Beckerman Sukee Chew Russ Posternak Michael J. Rothstein Ash Christian,,,Tilda Cobham-Hervey Suki Waterhouse Harry Shum Jr. Shiloh Fernandez Josh Hutcherson,Ceiri Torjussen,Jon Keng,Marc Fusco,Yale Productions Film Mode Entertainment Inwood Road Films Particular Crowd,Momentum Pictures,"August 23, 2019",88 minutes,United States,English,,"25,373 ",,,Mike Gan,
Official Secrets,Gavin Hood,Ged Doherty Elizabeth Fowler Melissa Shiyu Zuo,Gregory Bernstein Sara Bernstein Gavin Hood,The Spy Who Tried to Stop a Warby Marcia & Thomas Mitchell,Keira Knightley Matt Smith Matthew Goode Rhys Ifans Adam Bakri Ralph Fiennes,Paul Hepker Mark Kilian,Florian Hoffmeister,Megan Gill,Clear Pictures Entertainment Raindog Films The Gordon Company Ingenious Media Screen Yorkshire,Entertainment One (United Kingdom) IFC Films (United States),28 January 2019Sundance) 30 August 2019 18 October 2019,112 minutes,United Kingdom United States,English,,9.5 million,,,,
Don't Let Go,Jacob Aaron Estes,Jason Blum Bobby Cohen David Oyelowo,Jacob Aaron Estes,,David Oyelow Storm Reid Byron Mann Mykelti Williamson,Ethan Gold,Sharone Meir,Scott D. Hanson Billy Fox,Blumhouse Productions Briarcliff Entertainment,OTL Releasing BH Tilt,"January 27, 2019Sundance) August 30, 2019",107 minutes,United States,English,5 million,5.3 million,Jacob Aaron Estes Drew Daywalt,,,
The Fanatic,Fred Durst,Daniel Grodnik Oscar Generale Bill Kenwright,Dave Bekerman Fred Durst,,John Travolta Devon Sawa Ana Golja Jacob Grodnik James Paxton,Gary Hickeson John Swihart,Conrad W. Hall,Malcolm Crowe Nik Voytas,VMI Worldwide Pretzel Fang Productions Wonderfilm Media Finance Capital Bill Kenwright Films,Quiver Distribution Redbox Entertainment,"August 30, 2019",89 minutes,United States,English,,"3,153 ",Fred Durst,,,
It Chapter Two,Andy Muschietti,Barbara Muschietti Dan Lin Roy Lee,Gary Dauberman,Itby Stephen King,Jessica Chastain James McAvoy Bill Hader Isaiah Mustafa Jay Ryan James Ransone Andy Bean Bill Skarsgård,Benjamin Wallfisch,Checco Varese,Jason Ballantine,,Warner Bros. Pictures,"September 6, 2019",169 minutes,United States,English,79 million,473.1 million,,New Line Cinema Double Dream Vertigo Entertainment Rideback,,
Satanic Panic,Chelsea Stardust,Dallas Sonnier Amanda Presmyk,Grady Hendrix,,Hayley Griffith Ruby Modine Arden Myrin A. J. Bowen Jordan Ladd Jeff Daniel Phillips Michael Polish Hannah Stocking Whitney Moore Skeeta Jenkins Mike E. Winfield Jerry O'Connell Rebecca Romijn,Wolfmen of Mars,Mark Evans,Michael Sale,Fangoria,RLJE Films,"May 31, 2019Overlook Film Festival) September 6, 2019",80 minutes,United States,English,,,Grady Hendrix Ted Geoghegan,,,
The Obituary of Tunde Johnson,Ali LeRoi,Zachary GreenJason ShumanMarni BondChuck Bond,,,Steven SilverNicola PeltzSpencer NevilleSammi RotibiTembi Locke,,Steven Holleran,Shannon Baker Davis and Spencer Rollins,Zgreen EntertainmentJason Shuman ProductionsThe Launch ProductionsMarginal Media,,"September 8, 2019TIFF)",104 minutes,United States,English,,,,,Stanley Kalu,
The Goldfinch,John Crowley,Nina Jacobson Brad Simpson,Peter Straughan,The Goldfinchby Donna Tartt,Ansel Elgort Oakes Fegley Aneurin Barnard Finn Wolfhard Sarah Paulson Luke Wilson Jeffrey Wright Nicole Kidman,Trevor Gureckis,Roger Deakins,Kelley Dixon,Amazon Studios Color Force,Warner Bros. Pictures,"September 8, 2019TIFF) September 13, 2019",149 minutes,United States,English,44–49 million,9.9 million,,,,
Hustlers,Lorene Scafaria,Jessica Elbaum Will Ferrell Adam McKay Elaine Goldsmith-Thomas Jennifer Lopez Benny Medina,Lorene Scafaria,"""The Hustlers at Scores""by Jessica Pressler",Constance Wu Jennifer Lopez Julia Stiles Keke Palmer Lili Reinhart Lizzo Cardi B,,Todd Banhazl,Kayla Emter,Gloria Sanchez Productions Nuyorican Productions Annapurna Pictures,STXfilms,"September 7, 2019TIFF) September 13, 2019",110 minutes,United States,English,20.7 million,157.6 million,,,,
The Sound of Silence,Michael Tyburski,Adi Ezroni Tariq Merhab Ben Nabors Michael Prall Charlie Scully Mandy Tagger,Ben Nabors Michael Tyburski,,Peter Sarsgaard Rashida Jones Tony Revolori Austin Pendleton,Will Bates,Eric Lin,Matthew C. Hart,,IFC Films,"January 26, 2019Sundance) September 13, 2019",85 minutes,United States,English,,"20,171",Ben Nabors,Anonymous Content Feracious Entertainment Group Theory Jhumka Films Keshet Studios Valparaiso Pictures Washington Square Pictures,,
Monos,Alejandro Landes,Alejandro Landes Fernando Epstein Santiago Zapata Cristina Landes,,,Julianne Nicholson Moisés Arias,Mica Levi,Jasper Wolf,Yorgos Mavropsaridis Ted Guard Santiago,,Neon (United States) Cine Colombia (Colombia),"January 27, 2019Sundance) August 15, 2019 September 13, 2019",103 minutes,Colombia United States,Spanish,2 million,1.3 million,,Stela Cine Participant,Alejandro Landes Alexis Dos Santos,
Tall Girl,Nzingha Stewart,McG Mary Viola Corey Marsh,,,Ava Michelle Griffin Gluck Sabrina Carpenter Paris Berelc Luke Eisner Clara Wilsey Anjelika Washington Rico Paris Angela Kinsey Steve Zahn,Mateo Messina,Eric Edwards,Priscilla Nedd Friendly,Wonderland Sound and Vision,Netflix,"September 13, 2019",102 minutes,United States,English,13.6 million,,,,Sam Wolfson,
Polaroid,Lars Klevberg,Roy Lee Chris Bender Michael Mahoney,Blair Butler,Polaroidby Lars Klevberg,Kathryn Prescott Grace Zabriskie Samantha Logan Tyler Young Javier Botet Katie Stevens Madelaine Petsch Priscilla Quintana Davi Santos Keenan Tracey Mitch Pileggi,Philip Giffin,Pål Ulvik Rokseth,Peter Gvozdas,,Vertical Entertainment (United States) Lantern Entertainment (International co-distribution with 13 Films),"January 10, 2019 September 17, 2019",88 minutes,United States,English,,2.4 million,,Dimension Films Benderspink Eldorado Film Vertigo Entertainment,,
Ad Astra,James Gray,Brad Pitt Dede Gardner Jeremy Kleiner James Gray Arnon Milchan Anthony Katagas Rodrigo Teixeira,,,Brad Pitt Tommy Lee Jones Ruth Negga Liv Tyler Donald Sutherland,Max Richter,Hoyte van Hoytema,John Axelrad Lee Haugen,,20th Century Fox(Worldwide) Polybona Films(China),"August 29, 2019Venice) September 20, 2019",124 minutes,United States,English,80–100 million,135.4 million,,Regency Enterprises Bona Film Group New Regency Plan B Entertainment RT Features Keep Your Head Productions MadRiver Pictures TSG Entertainment,James Gray Ethan Gross,
Downton Abbey,Michael Engler,Julian Fellowes Gareth Neame Liz Trubridge,Julian Fellowes,Downton Abbeyby Julian Fellowes,Hugh Bonneville Jim Carter Michelle Dockery Elizabeth McGovern Maggie Smith Imelda Staunton Penelope Wilton,John Lunn,Ben Smithard,Mark Day,Perfect World Pictures Focus Features Carnival Films,Universal Pictures (International)Focus Features (United States),9 September 2019Leicester Square) 13 September 2019 20 September 2019,122 minutes,United KingdomUnited States,English,13–20 million,194.3 million,,,,
Rambo: Last Blood,Adrian Grünberg,Avi Lerner Kevin King Templeton Yariv Lerner Les Weldon,Matthew Cirulnick Sylvester Stallone,John Ramboby David Morrell,Sylvester Stallone Paz Vega Sergio Peris-Mencheta Adriana Barraza Yvette Monreal Genie Kim Joaquín Cosío Oscar Jaenada,Brian Tyler,Brendan Galvin,Todd E. Miller Carsten Kurpanek,,Lionsgate,"September 20, 2019","89 minutes(US, UK, Canada) 101 minutes(International)",United States,English,50 million,91.5 million,Dan Gordon Sylvester Stallone,Millennium Media Balboa Productions Templeton Media,,
Bloodline,Henry Jacobson,Adam Hendricks John H. Lang Greg Gilreath Jason Blum,,,Seann William Scott Mariela Garriga Dale Dickey Kevin Carroll,Trevor Gureckis,Isaac Bauman,Nigel Galt,Blumhouse Productions Divide/Conquer Meridian Entertainment,Momentum Pictures,"September 22, 2018Fantastic Fest) September 20, 2019",95 minutes,United States,English,,,,,Avra Fox-Lerne Henry Jacobson Will Honley,
Running with the Devil,Jason Cabell,Michael Mendelsohn Jim Steele,,,Nicolas Cage Laurence Fishburne Leslie Bibb Barry Pepper,Reinhold Heil,Cory Geryak,Jordan Goldman,Patriot Pictures Saturn Films,Quiver Distribution Redbox Entertainment,"September 20, 2019",100 minutes,United States,English,,,,,Jason Cabell,
Fractured,Brad Anderson,Neal Edelstein Mike Macari Paul Schiff,,,Sam Worthington Lily Rabe Stephen Tobolowsky Adjoa Andoh Shane Dean Lauren Cochrane,Anton Sanko,Björn Charpentier,Robert Mead,,Netflix,"September 22, 2019Fantastic Fest) October 11, 2019",100 minutes,United States,English,,,,Koji Productions Crow Island Films Macari/Edelstein Paul Schiff Productions,Alan B. McElroy,
Perspective,Bree Mills,,Bree Mills,,Angela White Seth Gamble Alina Lopez Abigail Mac Isiah Maxwell,,,,,,26 September 2019,97 min (R-rated film) 220 min (uncut adult film),,English,"100,000",,,,,
Abominable,Jill Culton,Suzanne BuirgyPeilin Chou,,,Chloe Bennet Albert Tsai Tenzing Norgay Trainor Eddie Izzard Sarah Paulson Tsai Chin Michelle Wong,Rupert Gregson-Williams,Robert Edward Crawford,Susan Fitzer,,Universal Pictures (Worldwide) Pearl Studio (China),"September 7, 2019TIFF) September 27, 2019",97 minutes,United States China,English,75 million,189.7 million,,DreamWorks Animation Pearl Studio,Jill Culton,
