title,directed_by,produced_by,screenplay_by,based_on,starring,music_by,cinematography,edited_by,productioncompany,distributed_by,release_date,running_time,country,language,budget,box_office,story_by,productioncompanies,written_by,narrated_by
Bombshell,Jay Roach,Aaron L. Glibert Jay Roach Robert Graf Michelle Graham Charles Randolph Margaret Riley Charlize Theron A.J. Dix Beth Kono,,,Charlize Theron Nicole Kidman John Lithgow Kate McKinnon Connie Britton Malcolm McDowell Allison Janney Margot Robbie,Theodore Shapiro,Barry Ackroyd,Jon Poll,,Lionsgate,"December 13, 2019",108 minutes,United States,English,32 million,61.4 million,,Bron Studios Annapurna Pictures Denver + Delilah Productions Gramsci Lighthouse Management & Media Creative Wealth Media,Charles Randolph,
Uncut Gems,Josh Safdie Benny Safdie,Scott Rudin Eli Bush Sebastian Bear-McClard,,,Adam Sandler Lakeith Stanfield Julia Fox Kevin Garnett Idina Menzel Eric Bogosian,Daniel Lopatin,Darius Khondji,Ronald Bronstein Benny Safdie,A24 Elara Pictures IAC Films Sikelia Productions Scott Rudin Productions,A24 (United States) Netflix (International),"August 30, 2019Telluride) December 13, 2019",135 minutes,United States,English,19 million,50 million,,,Ronald Bronstein Josh Safdie Benny Safdie,
Seberg,Benedict Andrews,Marina Acton Fred Berger Kate Garwood Stephen Hopkins Brian Kavanaugh-Jones Bradley Pilz Alan Ritchson,,,Kristen Stewart Jack O'Connell Margaret Qualley Zazie Beetz Vince Vaughn Anthony Mackie,Jed Kurzel,Rachel Morrison,Pamela Martin,Automatik Bradley Pilz Productions Phreaker Films Ingenious Media,Amazon Studios (United States) Universal Pictures (United Kingdom),"August 30, 2019Venice) December 13, 2019 January 10, 2020",102 minutes,United States United Kingdom,English,8 million,"675,808",,,Joe Shrapnel Anna Waterhouse,
A Hidden Life,Terrence Malick,Elisabeth Bentley Dario Bergesio Grant Hill Josh Jeter,,,August Diehl Valerie Pachner Matthias Schoenaerts,James Newton Howard,Jörg Widmer,Rehman Nizar Ali Joe Gleason Sebastian Jones,Elizabeth Bay Productions Aceway Studio Babelsberg,Fox Searchlight Pictures,"May 19, 2019Cannes) December 13, 2019",174 minutes,United States Germany,English German,7–9 million,4.6 million,,,Terrence Malick,
Star Wars: The Rise of Skywalker,J. J. Abrams,Kathleen Kennedy J. J. Abrams Michelle Rejwan,Chris Terrio J. J. Abrams,Charactersby George Lucas,Carrie Fisher Mark Hamill Adam Driver Daisy Ridley John Boyega Oscar Isaac Anthony Daniels Naomi Ackie Domhnall Gleeson Richard E. Grant Lupita Nyong'o Keri Russell Joonas Suotamo Kelly Marie Tran Ian McDiarmid Billy Dee Williams,John Williams,Dan Mindel,Maryann Brandon Stefan Grube,Lucasfilm Ltd. Bad Robot Productions,Walt Disney StudiosMotion Pictures,"December 16, 2019Hollywood) December 20, 2019",142 minutes,United States,English,275 million,1.074 billion,Derek Connolly Colin Trevorrow J. J. Abrams Chris Terrio,,,
Cats,Tom Hooper,Debra Hayward Tim Bevan Eric Fellner Tom Hooper,Lee Hall Tom Hooper,Catsby Andrew Lloyd Webber Old Possum's Book of Practical Catsby T. S. Eliot,James Corden Judi Dench Jason Derulo Idris Elba Jennifer Hudson Ian McKellen Taylor Swift Rebel Wilson Francesca Hayward,Andrew Lloyd Webber,Christopher Ross,Melanie Ann Oliver,Working Title Films Amblin Entertainment Perfect World Pictures Monumental Pictures The Really Useful Group,Universal Pictures,16 December 2019Alice Tully Hall) 20 December 2019,110 minutes,United Kingdom United States,English,80–100 million,75.5 million,,,,
Togo,Ericson Core,Kim Zubick,,,Willem Dafoe,Mark Isham,Ericson Core,Martin Pensa,Walt Disney Pictures,Disney+Walt Disney Studios Motion Pictures,"December 20, 2019",114 minutes,United States,English,40 million,,,,Tom Flynn,
Spies in Disguise,Troy Quane Nick Bruno,Peter Chernin Jenno Topping Michael J. Travers,Brad Copeland Lloyd Taylor,Pigeon: Impossibleby Lucas Martell,Will Smith Tom Holland Rashida Jones Ben Mendelsohn Reba McEntire Rachel Brosnahan Karen Gillan DJ Khaled Masi Oka,Theodore Shapiro,,Randy Trager Christopher Campbell,,20th Century Fox,"December 4, 2019El Capitan Theatre) December 25, 2019",102 minutes,United States,English,100 million,171.6 million,Cindy Davis,Blue Sky Studios 20th Century Fox Animation Chernin Entertainment,,
Little Women,Greta Gerwig,Amy Pascal Denise Di Novi Robin Swicord,Greta Gerwig,Little Womenby Louisa May Alcott,Saoirse Ronan Emma Watson Florence Pugh Eliza Scanlen Laura Dern Timothée Chalamet Meryl Streep Tracy Letts Bob Odenkirk James Norton Louis Garrel Chris Cooper,Alexandre Desplat,Yorick Le Saux,Nick Houy,Columbia Pictures Regency Enterprises Pascal Pictures,Sony Pictures Releasing,"December 7, 2019MoMA) December 25, 2019",135 minutes,United States,English,40 million,216.9 million,,,,
1917,Sam Mendes,Sam Mendes Pippa Harris Jayne-Ann Tenggren Callum McDougall Brian Oliver,,,George MacKay Dean-Charles Chapman Mark Strong Andrew Scott Richard Madden Claire Duburcq Colin Firth Benedict Cumberbatch,Thomas Newman,Roger Deakins,Lee Smith,DreamWorks Pictures Reliance Entertainment New Republic Pictures Alibaba Pictures Mogambo Neal Street Productions Amblin Partners,Entertainment One (United Kingdom) Universal Pictures (United States),4 December 2019 25 December 2019 10 January 2020,119 minutes,United Kingdom United States,EnglishGermanFrench,90–100 million,384.9 million,,,Sam Mendes Krysty Wilson-Cairns,
Just Mercy,Destin Daniel Cretton,Gil Netter,Destin Daniel Cretton Andrew Lanham,Just Mercy: A Story of Justice and Redemptionby Bryan Stevenson,Michael B. Jordan Jamie Foxx Rob Morgan Tim Blake Nelson Rafe Spall Brie Larson,Joel P. West,Brett Pawlak,Nat Sanders,Endeavor Content One Community Participant Media Macro Media Gil Netter Productions Outlier Society,Warner Bros. Pictures,"September 6, 2019TIFF) December 25, 2019",137 minutes,United States,English,25 million,50.4 million,,,,
Clemency,Chinonye Chukwu,Bronwyn Cornelius Julian Cautherley Peter Wong Timur Bekbosunov Alfre Woodard,,,Alfre Woodard Richard Schiff Danielle Brooks Michael O'Neill Richard Gunn Wendell Pierce Aldis Hodge,Kathryn Bostic,Eric Branco,Phyllis Housen,,Neon,"January 27, 2019Sundance) December 27, 2019",113 minutes,United States,English,,"364,952",,ACE Pictures Big Indie Pictures Bronwyn Cornelius Productions,Chinonye Chukwu,
