title,directed_by,produced_by,screenplay_by,based_on,starring,music_by,cinematography,edited_by,productioncompany,distributed_by,release_date,running_time,country,language,budget,box_office,story_by,productioncompanies,written_by,narrated_by
The Addams Family,Conrad Vernon Greg Tiernan,Gail Berman Conrad Vernon Alex Schwartz Alison O'Brien,Matt Lieberman Pamela Pettler (draft),The Addams Family by Charles Addams,Oscar Isaac Charlize Theron Chloë Grace Moretz Finn Wolfhard Nick Kroll Snoop Dogg Bette Midler Allison Janney,Mychael Danna Jeff Danna,,David Ian Salter,Metro-Goldwyn-Mayer Pictures Bron Creative The Jackal Group Cinesite Studios,United Artists Releasing (United States and Canada) Universal Pictures (International),2019-10-11,87,"USA, Canada",English,24000000.0,204000000.0,Matt Lieberman Erica Rivinoja Conrad Vernon,,,
The King,David Michôd,Brad Pitt Dede Gardner Jeremy Kleiner Liz Watts David Michôd Joel Edgerton,,"Henry IV, Part 1, Henry IV, Part 2 and Henry Vby William Shakespeare",Timothée Chalamet Joel Edgerton Robert Pattinson Lily-Rose Depp Sean Harris Ben Mendelsohn,Nicholas Britell,Adam Arkapaw,Peter Sciberras,,Netflix,2019-10-11,140,"Australia, USA",English,23000000.0,10000.0,,Plan B Entertainment Netflix Blue-Tongue Films Porchlight Films,David Michôd Joel Edgerton,
Jexi,Jon Lucas Scott Moore,Suzanne Todd,,,Adam DeVine Alexandra Shipp Michael Peña Rose Byrne,Christopher Lennertz Philip White,Ben Kutchins,James Thomas,,Lionsgate,2019-10-11,84,"Canada, USA",English,13600000.0,9300000.0,,CBS Films eOne,Jon Lucas Scott Moore Patrick Doran,
El Camino: A Breaking Bad Movie,Vince Gilligan,Mark Johnson Melissa Bernstein Charles Newirth Vince Gilligan Aaron Paul Diane Mercer,,Breaking Badby Vince Gilligan,Aaron Paul,Dave Porter,Marshall Adams,Skip MacDonald,Sony Pictures TelevisionGran Vía ProductionsHigh Bridge Productions,Netflix,2019-10-11,122,USA,English,6000000.0,40000.0,,,Vince Gilligan,
Maleficent: Mistress of Evil,Joachim Rønning,Joe Roth Angelina Jolie Duncan Henderson,,Characters from: Disney's Sleeping Beauty La Belle au bois dormantby Charles Perrault,Angelina Jolie Elle Fanning Chiwetel Ejiofor Sam Riley Ed Skrein Imelda Staunton Juno Temple Lesley Manville Michelle Pfeiffer,Geoff Zanelli,Henry Braham,Laura Jennings Craig Wood,Walt Disney Pictures Roth/Kirschenbaum Films,Walt Disney StudiosMotion Pictures,2019-10-18,119,USA,English,185000000.0,491700000.0,,,Linda Woolverton Noah Harpster Micah Fitzerman-Blue,
Zombieland: Double Tap,Ruben Fleischer,Gavin Polone,,,Woody Harrelson Jesse Eisenberg Abigail Breslin Emma Stone Rosario Dawson Zoey Deutch Luke Wilson,David Sardy,Chung Chung-hoon,Dirk Westervelt,,Sony Pictures Releasing,2019-10-18,99,USA,English,48000000.0,122800000.0,,Columbia Pictures 2.0 Entertainment Pariah,Rhett Reese Paul Wernick David Callaham,
Jojo Rabbit,Taika Waititi,Carthew Neal Taika Waititi Chelsea Winstanley,Taika Waititi,Caging Skiesby Christine Leunens,Roman Griffin Davis Thomasin McKenzie Taika Waititi Rebel Wilson Stephen Merchant Alfie Allen Sam Rockwell Scarlett Johansson,Michael Giacchino,Mihai Mălaimare Jr.,Tom Eagles,Fox Searchlight Pictures TSG Entertainment Defender Films Piki Films,Fox Searchlight Pictures,2019-10-18,108,"United, States, New-Zealand, Czech, Republic",English,14000000.0,90300000.0,,,,
The Lighthouse,Robert Eggers,Rodrigo Teixeira Jay Van Hoy Robert Eggers Lourenço Sant' Anna Youree Henley,,,Willem Dafoe Robert Pattinson,Mark Korven,Jarin Blaschke,Louise Ford,A24 Regency Enterprises RT Features,A24 (United States) VVS Films (Canada) Focus Features/Universal Pictures (International),2019-10-18,109,"USA, Canada",English,4000000.0,18200000.0,,,Robert Eggers Max Eggers,
Black and Blue,Deon Taylor,Sean Sorensen,,,Naomie Harris Tyrese Gibson Frank Grillo Mike Colter Reid Scott,Geoff Zanelli,Dante Spinotti,Peck Prior,,Sony Pictures Releasing,2019-10-25,108,USA,English,12000000.0,22700000.0,,Screen Gems Royal Viking Entertainment Hidden Empire Film Group,Peter A. Dowling,
The Current War,Alfonso Gomez-Rejon,Timur Bekmambetov Basil Iwanyk Steven Zaillian,,,Benedict Cumberbatch Michael Shannon Nicholas Hoult Katherine Waterston Tom Holland Tuppence Middleton Matthew Macfadyen,Volker Bertelmann & Dustin O'Halloran (2017) Danny Bensi & Saunder Jurriaans (2019),Chung-hoon Chung,David Trachtenberg Justin Krohn,Bazelevs Company Film Rites Thunder Road Pictures,101 Studios(United States) Lantern Entertainment(International),2019-10-25,107,USA,English,30000000.0,12300000.0,,,Michael Mitnick,
