distro,Feature,Release Date,End Of Life,Price (US$),Image Size (MB),Free Download,Installation,Default Desktop,Package Management,Release Model,Office Suite,Processor Architecture,Init Software,Journaled File Systems,Multilingual
popos,17.10,2017-10-18,,Free,1700-1800,ISO,Graphical,GNOME,"DEB (apt), Snap",Fixed,LibreOffice,x86_64,systemd,"Btrfs, ext4",--
popos,Feature,Release Date,End Of Life,Price (US$),Image Size (MB),Free Download,Installation,Default Desktop,Package Management,Release Model,Office Suite,Processor Architecture,Init Software,Journaled File Systems,Multilingual
ubuntu,snapshothirsute,2020-12-12,,Free,,ISO,Graphical,GNOME,DEB,Rolling,LibreOffice,"amd64, arm64, ppc64el, s390x",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,20.10groovy,2020-10-22,2021-07,Free,900-2900,ISO,Graphical,GNOME,"DEB (apt), snap",Fixed,LibreOffice,"amd64, arm64, ppc64el, s390x",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,20.04 LTSfocal,2020-04-23,2025-04,Free,800-2400,ISO,Graphical,GNOME,"DEB (apt), snap",Fixed,LibreOffice,"amd64, arm64, ppc64el, s390x",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,19.10eoan,2019-10-17,2020-07,Free,700-2000,ISO,Graphical,GNOME,"DEB (apt), snap",Fixed,LibreOffice,"amd64, arm64, ppc64el, s390x",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,19.04disco,2019-04-18,2020-01,Free,800-1900,ISO,Graphical,GNOME,"DEB (apt), snap",Fixed,LibreOffice,"amd64, arm64, ppc64el, s390x",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,18.10cosmic,2018-10-18,2019-07,Free,800-1900,ISO,Graphical,GNOME,"DEB (apt), snap",Fixed,LibreOffice,"amd64, arm64, ppc64el, s390x",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,18.04 LTSbionic,2018-04-26,2023-04,Free,800-1900,ISO,Graphical,GNOME,"DEB (apt), snap",Fixed,LibreOffice,"amd64, arm64, ppc64el, s390x",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,17.10artful,2017-10-19,2018-07,Free,743-1432,ISO,Graphical,GNOME,"DEB (apt), snap",Fixed,LibreOffice,"amd64, i686, powerpc, ppc64el",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,17.04zesty,2017-04-13,2018-01,Free,682-1557,ISO,Graphical,Unity,"DEB (apt), snap",Fixed,LibreOffice,"amd64, i686, powerpc, ppc64el",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,16.10yakkety,2016-10-13,2017-07,Free,553-1536,ISO,Graphical,Unity,"DEB (apt), snap",Fixed,LibreOffice,"amd64, i686, powerpc, ppc64el",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,16.04 LTSxenial,2016-04-21,2021-04,Free,796-1533,ISO,Graphical,Unity,"DEB (apt), snap",Fixed,LibreOffice,"amd64, i686, powerpc, ppc64el",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,15.10wily,2015-10-22,2016-07,Free,,ISO,Graphical,Unity,DEB,Fixed,LibreOffice,"amd64, i686, powerpc, ppc64el",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,15.04vivid,2015-04-23,2016-01,Free,,ISO,Graphical,Unity,DEB,Fixed,LibreOffice,"amd64, i686, powerpc, ppc64el",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,14.10utopic,2014-10-23,2015-07,Free,,ISO,Graphical,Unity,DEB,Fixed,LibreOffice,"amd64, i686, powerpc",Upstart,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,14.04 LTStrusty,2014-04-17,2019-04,Free,,ISO,Graphical,Unity,DEB,Fixed,LibreOffice,"amd64, armhf, i686, powerpc",Upstart,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,13.10saucy,2013-10-17,2014-07,Free,,ISO,Graphical,Unity,DEB,Fixed,LibreOffice,"amd64, armhf, i686, powerpc",Upstart,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,13.04raring,2013-04-25,2014-01,Free,,ISO,Graphical,Unity,DEB,Fixed,LibreOffice,"amd64, armhf, i686, powerpc",Upstart,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,12.10quantal,2012-10-18,2014-05,Free,,ISO,Graphical,Unity,DEB,Fixed,LibreOffice,"amd64, armhf, i686, powerpc",Upstart,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,12.04 LTSprecise,2012-04-26,2017-04,Free,,ISO,Graphical,Unity,DEB,Fixed,LibreOffice,"amd64, armhf, i686, powerpc",Upstart,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,11.10oneiric,2011-10-13,2013-05,Free,,ISO,Graphical,Unity,DEB,Fixed,LibreOffice,"amd64, armel, i686, powerpc",Upstart,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,11.04natty,2011-04-28,2012-10,Free,,ISO,Graphical,Unity,DEB,Fixed,LibreOffice,"amd64, i686",Upstart,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,10.10maverick,2010-10-10,2012-04,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,"amd64, i686, powerpc",Upstart,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,10.04 LTSlucid,2010-04-29,2013-05,Free,,ISO,Graphical,GNOME,DEB,Fixed,"GOffice, OO.o","amd64, i386",Upstart,"ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,9.10karmic,2009-10-29,,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,"amd64, i386",Upstart,"ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,9.04jaunty,2009-04-23,,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,"amd64, i386",Upstart,"ext3, ext4, JFS, ReiserFS, XFS",Yes
ubuntu,8.10intrepid,2008-10-30,,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,"amd64, i386",Upstart,"ext3, JFS, ReiserFS, XFS",Yes
ubuntu,8.04 LTShardy,2008-04-24,,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,"amd64, i386",Upstart,"ext3, JFS, ReiserFS, XFS",Yes
ubuntu,7.10gutsy,2007-10-18,,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,"amd64, i386",Upstart,"ext3, JFS, ReiserFS, XFS",Yes
ubuntu,7.04feisty,2007-04-19,,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,"amd64, i386, sparc",Upstart,"ext3, JFS, ReiserFS, XFS",Yes
ubuntu,6.10edgy,2006-10-26,,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,"amd64, i386, powerpc",Upstart,"ext3, JFS, ReiserFS, XFS",Yes
