Certified 2018 Ford Focus SE Hatchback,"14,463",Multiple Owners,No Accident / Damage Reported,GREAT,"12,306",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Flexible Fuel,26 City / 38 Highway,Shadow Black,Charcoal Black
Certified 2018 Ford Focus SE Hatchback,"14,463",Multiple Owners,No Accident / Damage Reported,GREAT,"12,306",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Flexible Fuel,26 City / 38 Highway,Shadow Black,Charcoal Black
Used 2019 Ford Fusion S,"16,672",One Owner,No Accident / Damage Reported,GREAT,"6,962",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,21 City / 31 Highway,Magnetic Metallic,Medium Light Stone
Used 2017 Kia Optima EX,"17,588",One Owner,No Accident / Damage Reported,GREAT,"26,739",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,24 City / 34 Highway,Ebony Black,Black
Used 2018 Chevrolet Equinox FWD LT w/ 1LT,"17,977",One Owner,Accident / Damage Reported,GREAT,"27,762",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,26 City / 32 Highway,Nightfall Gray Metallic,Jet Black
Used 2016 Ford Taurus SEL,"17,998",One Owner,Accident / Damage Reported,GREAT,"15,311",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,18 City / 27 Highway,White Platinum Metallic Tri-Coat,Charcoal Black
Used 2018 Chevrolet Equinox FWD LT w/ 1LT,"18,977",One Owner,No Accident / Damage Reported,GREAT,"19,970",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,26 City / 32 Highway,Mosaic Black Metallic,Jet Black
Used 2017 Ford Escape FWD Titanium,"19,366",One Owner,No Accident / Damage Reported,GREAT,"25,331",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,22 City / 29 Highway,Magnetic Metallic,Charcoal Black
Certified 2020 Ford Escape FWD S,"21,489",One Owner,No Accident / Damage Reported,GREAT,"4,622",2 wheel drive - front,3-Cylinder Turbo,8-Speed Automatic,Gasoline,27 City / 33 Highway,Magnetic Metallic,Dark Earth Gray
Used 2016 Dodge Charger SXT,"22,332",Multiple Owners,No Accident / Damage Reported,GREAT,"30,667",2 wheel drive - rear,6-Cylinder,8-Speed Automatic,Gasoline,19 City / 30 Highway,Jazz Blue Pearlcoat,Black
Used 2018 Lincoln MKZ Premiere,"23,741",One Owner,No Accident / Damage Reported,GREAT,"7,957",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,21 City / 31 Highway,White Platinum Metallic Tri-Coat,Cappuccino
Used 2018 Ford Escape 4WD Titanium,"23,989",One Owner,No Accident / Damage Reported,GREAT,"9,985",4 wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,20 City / 27 Highway,Magnetic Metallic,Charcoal Black
Certified 2018 Ford Edge FWD Titanium,"28,485",One Owner,No Accident / Damage Reported,GREAT,"4,622",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,17 City / 26 Highway,Shadow Black,Ebony
Certified 2018 Ford Edge FWD Titanium,"28,485",One Owner,No Accident / Damage Reported,GREAT,"4,622",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,17 City / 26 Highway,Shadow Black,Ebony
Used 2020 Ford Escape FWD SEL,"28,497",Multiple Owners,No Accident / Damage Reported,GREAT,"2,515",2 wheel drive - front,3-Cylinder Turbo,8-Speed Automatic,Gasoline,27 City / 33 Highway,Agate Black,Ebony
Used 2020 Ford Escape 4WD SEL,"29,622",Multiple Owners,No Accident / Damage Reported,GREAT,"5,034",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,23 City / 31 Highway,Oxford White,Sandstone
Used 2014 Ford F150 Lariat,"29,989",One Owner,Accident / Damage Reported,GREAT,"57,778",4 wheel drive,6-Cylinder Turbo,6-Speed Automatic,Gasoline,14 City / 19 Highway,White Platinum Metallic Tri-Coat,Pale Adobe
Used 2020 Ford Escape 4WD Titanium,"29,994",Multiple Owners,No Accident / Damage Reported,GREAT,"2,646",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,23 City / 31 Highway,Rapid Red Metallic Tinted Clearcoat,Ebony Black
Used 2020 Ford Escape 4WD Titanium,"30,877",Multiple Owners,No Accident / Damage Reported,GREAT,"4,842",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,23 City / 31 Highway,Agate Black,Sandstone
Used 2018 Nissan Frontier King Cab S,"19,700",Multiple Owners,Accident / Damage Reported,,"24,448",2 wheel drive - rear,4-Cylinder,5-Speed Automatic,Gasoline,6',17 City / 22 Highway,Glacier White
Used 2019 Toyota RAV4 AWD LE,"23,380",One Owner,No Accident / Damage Reported,GREAT,"27,996",All wheel drive,4-Cylinder,8-Speed Automatic,Gasoline,27 City / 34 Highway,Silver Sky Metallic,Black
