,title,price,owner,accident,price_rating,mileage,drive_type,engine,transmission,fuel_type,mpg,exterior,interior
10,Certified 2020 Hyundai Santa Fe AWD SEL w/ Cargo Package,"31,900",One Owner,No Accident / Damage Reported,GREAT,"3,141",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,20 City / 26 Highway,Twilight Black,Black/Black
11,Used 2014 Volkswagen Jetta TDI Sedan,"11,397",Multiple Owners,No Accident / Damage Reported,GREAT,"69,419",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Diesel,29 City / 37 Highway,Black,Black/Carbon
12,Used 2015 Honda Odyssey EX-L,"20,263",Multiple Owners,No Accident / Damage Reported,GREAT,"54,291",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,19 City / 27 Highway,Black,Gray
13,Used 2018 GMC Sierra 1500 Denali,"50,350",One Owner,No Accident / Damage Reported,GREAT,"7,554",4 wheel drive,8-Cylinder,8-Speed Automatic,Gasoline,"5'10""",15 City / 20 Highway,Onyx Black
14,Used 2017 Volkswagen Passat 1.8T SE,"15,791",One Owner,No Accident / Damage Reported,GREAT,"26,309",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,23 City / 34 Highway,Reef Blue Metallic,Titan Black
15,Used 2018 Ford EcoSport 4WD Titanium,"18,591",One Owner,No Accident / Damage Reported,GREAT,"19,079",4 wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,23 City / 29 Highway,Lightning Blue Metallic,Medium Stone
16,Used 2018 Chevrolet Equinox FWD LT w/ 1LT,"18,791",One Owner,No Accident / Damage Reported,GREAT,"16,105",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,26 City / 32 Highway,Pepperdust Metallic,Jet Black
17,Used 2017 Toyota Camry LE,"18,991",Multiple Owners,No Accident / Damage Reported,GREAT,"15,816",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,42 City / 38 Highway,Predawn Gray Mica
18,Used 2017 Ford Escape 4WD Titanium,"18,991",One Owner,No Accident / Damage Reported,GREAT,"26,377",4 wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,22 City / 28 Highway,Oxford White,Charcoal Black
19,Used 2017 MAZDA CX-5 AWD Touring,"20,991",One Owner,Accident / Damage Reported,GREAT,"12,198",All wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,23 City / 29 Highway,Soul Red Crystal Metallic,Black
20,Used 2017 MAZDA CX-5 AWD Grand Touring,"23,991",One Owner,No Accident / Damage Reported,GREAT,"20,940",All wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,23 City / 29 Highway,Soul Red Crystal Metallic,Parchment
21,Certified 2018 Honda Accord 1.5T Sport,"23,779",One Owner,No Accident / Damage Reported,GREAT,"18,640",2 wheel drive - front,4-Cylinder Turbo,Continuously Variable Automatic,Gasoline,30 City / 38 Highway,San Marino Red,Black
22,Certified 2019 Honda Civic Type R Hatchback,"39,481",One Owner,No Accident / Damage Reported,GREAT,"1,789",2 wheel drive - front,4-Cylinder Turbo,6-Speed Manual,Gasoline,22 City / 28 Highway,Championship White,Black/Red
23,Used 2015 MAZDA MX-5 Miata Club Hard Top,"16,990",Multiple Owners,No Accident / Damage Reported,GREAT,"34,926",2 wheel drive - rear,4-Cylinder,6-Speed Automatic,Gasoline,21 City / 27 Highway,Silver,Other
24,Used 2014 Chevrolet Corvette Stingray Coupe,"38,590",Multiple Owners,No Accident / Damage Reported,GREAT,"34,047",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Gasoline,16 City / 27 Highway,Blue,Black
25,Used 2016 Ford C-MAX SEL,"14,731",One Owner,No Accident / Damage Reported,GREAT,"22,555",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,40 City / 36 Highway,Magnetic
26,Used 2017 Lexus CT 200h,"21,999",One Owner,Accident / Damage Reported,GREAT,"19,392",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,43 City / 40 Highway,White
27,Used 2017 Chevrolet Camaro LT Coupe w/ 2LT,"25,648",One Owner,No Accident / Damage Reported,GREAT,"10,400",2 wheel drive - rear,4-Cylinder Turbo,8-Speed Automatic,Gasoline,22 City / 31 Highway,Silver,Jet Black
28,Used 2014 Chevrolet Impala LT,"12,990",Multiple Owners,No Accident / Damage Reported,,"112,873",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,19 City / 28 Highway,Champagne Silver Metallic,Dark Titanium/Jet Black W/Sued
29,Used 2015 Chevrolet Traverse FWD LT w/ 2LT,"12,995",Multiple Owners,Accident / Damage Reported,GREAT,"114,027",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,17 City / 24 Highway,Silver Ice Metallic - Gray,Dark Titanium/Light Titanium C
30,Used 2020 MAZDA MAZDA6 Touring,"22,988",One Owner,No Accident / Damage Reported,GREAT,"4,546",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,26 City / 35 Highway,Soul Red Crystal Metallic,Black
31,Used 2017 Mercedes-Benz GLC 300 4MATIC,"27,988",One Owner,Accident / Damage Reported,GREAT,"24,627",All wheel drive,4-Cylinder Turbo,9-Speed Automatic,Gasoline,21 City / 28 Highway,Iridium Silver Metallic,Black
32,Used 2020 Chevrolet Blazer AWD LT w/ 2LT,"30,980",One Owner,No Accident / Damage Reported,GREAT,"6,482",All wheel drive,6-Cylinder,9-Speed Automatic,Gasoline,18 City / 25 Highway,Summit White,Jet Black
33,Used 2019 Toyota RAV4 AWD Adventure,"31,988",One Owner,No Accident / Damage Reported,GREAT,"6,234",All wheel drive,4-Cylinder,8-Speed Automatic,Gasoline,25 City / 33 Highway,Ruby Flare Pearl,Black
34,Certified 2017 Mercedes-Benz GLC 43 AMG 4MATIC,"43,488",One Owner,No Accident / Damage Reported,GREAT,"28,936",All wheel drive,6-Cylinder Turbo,9-Speed Automatic,Gasoline,18 City / 24 Highway,Polar White,Black
35,Used 2018 Nissan Altima 2.5 SV Sedan,"12,495",,,,"33,220",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,27 City / 38 Highway,Gray,Black
36,Used 2012 Ford Escape 4WD Hybrid,"10,521",One Owner,Accident / Damage Reported,GREAT,"73,106",4 wheel drive,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,30 City / 27 Highway,Lime Squeeze Metallic
37,Used 2017 Ford Focus SE Sedan,"12,676",One Owner,No Accident / Damage Reported,GREAT,"27,636",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Flexible Fuel,Information Unavailable,Oxford White,Charcoal Black
38,Used 2017 Ford Focus SE Sedan,"13,689",One Owner,No Accident / Damage Reported,GREAT,"16,184",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Flexible Fuel,Information Unavailable,Ruby Red Metallic Tinted Clearcoat,Charcoal Black
39,Certified 2018 Ford Focus SE Hatchback,"14,463",Multiple Owners,No Accident / Damage Reported,GREAT,"12,306",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Flexible Fuel,26 City / 38 Highway,Shadow Black,Charcoal Black
41,Used 2019 Ford Fusion S,"16,672",One Owner,No Accident / Damage Reported,GREAT,"6,962",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,21 City / 31 Highway,Magnetic Metallic,Medium Light Stone
42,Used 2017 Kia Optima EX,"17,588",One Owner,No Accident / Damage Reported,GREAT,"26,739",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,24 City / 34 Highway,Ebony Black,Black
43,Used 2018 Chevrolet Equinox FWD LT w/ 1LT,"17,977",One Owner,Accident / Damage Reported,GREAT,"27,762",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,26 City / 32 Highway,Nightfall Gray Metallic,Jet Black
44,Used 2016 Ford Taurus SEL,"17,998",One Owner,Accident / Damage Reported,GREAT,"15,311",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,18 City / 27 Highway,White Platinum Metallic Tri-Coat,Charcoal Black
45,Used 2018 Chevrolet Equinox FWD LT w/ 1LT,"18,977",One Owner,No Accident / Damage Reported,GREAT,"19,970",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,26 City / 32 Highway,Mosaic Black Metallic,Jet Black
46,Used 2017 Ford Escape FWD Titanium,"19,366",One Owner,No Accident / Damage Reported,GREAT,"25,331",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,22 City / 29 Highway,Magnetic Metallic,Charcoal Black
47,Certified 2020 Ford Escape FWD S,"21,489",One Owner,No Accident / Damage Reported,GREAT,"4,622",2 wheel drive - front,3-Cylinder Turbo,8-Speed Automatic,Gasoline,27 City / 33 Highway,Magnetic Metallic,Dark Earth Gray
48,Used 2016 Dodge Charger SXT,"22,332",Multiple Owners,No Accident / Damage Reported,GREAT,"30,667",2 wheel drive - rear,6-Cylinder,8-Speed Automatic,Gasoline,19 City / 30 Highway,Jazz Blue Pearlcoat,Black
49,Used 2018 Lincoln MKZ Premiere,"23,741",One Owner,No Accident / Damage Reported,GREAT,"7,957",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,21 City / 31 Highway,White Platinum Metallic Tri-Coat,Cappuccino
50,Used 2018 Ford Escape 4WD Titanium,"23,989",One Owner,No Accident / Damage Reported,GREAT,"9,985",4 wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,20 City / 27 Highway,Magnetic Metallic,Charcoal Black
51,Certified 2018 Ford Edge FWD Titanium,"28,485",One Owner,No Accident / Damage Reported,GREAT,"4,622",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,17 City / 26 Highway,Shadow Black,Ebony
53,Used 2020 Ford Escape FWD SEL,"28,497",Multiple Owners,No Accident / Damage Reported,GREAT,"2,515",2 wheel drive - front,3-Cylinder Turbo,8-Speed Automatic,Gasoline,27 City / 33 Highway,Agate Black,Ebony
54,Used 2020 Ford Escape 4WD SEL,"29,622",Multiple Owners,No Accident / Damage Reported,GREAT,"5,034",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,23 City / 31 Highway,Oxford White,Sandstone
55,Used 2014 Ford F150 Lariat,"29,989",One Owner,Accident / Damage Reported,GREAT,"57,778",4 wheel drive,6-Cylinder Turbo,6-Speed Automatic,Gasoline,14 City / 19 Highway,White Platinum Metallic Tri-Coat,Pale Adobe
56,Used 2020 Ford Escape 4WD Titanium,"29,994",Multiple Owners,No Accident / Damage Reported,GREAT,"2,646",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,23 City / 31 Highway,Rapid Red Metallic Tinted Clearcoat,Ebony Black
57,Used 2020 Ford Escape 4WD Titanium,"30,877",Multiple Owners,No Accident / Damage Reported,GREAT,"4,842",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,23 City / 31 Highway,Agate Black,Sandstone
58,Used 2018 Nissan Frontier King Cab S,"19,700",Multiple Owners,Accident / Damage Reported,,"24,448",2 wheel drive - rear,4-Cylinder,5-Speed Automatic,Gasoline,6',17 City / 22 Highway,Glacier White
59,Used 2019 Toyota RAV4 AWD LE,"23,380",One Owner,No Accident / Damage Reported,GREAT,"27,996",All wheel drive,4-Cylinder,8-Speed Automatic,Gasoline,27 City / 34 Highway,Silver Sky Metallic,Black
60,Used 2020 Ford Escape 4WD Titanium,"30,977",Multiple Owners,No Accident / Damage Reported,GREAT,"3,508",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,23 City / 31 Highway,Star White Metallic Tri-Coat,Sandstone
61,Used 2018 Ford F150 XLT,"30,977",Multiple Owners,No Accident / Damage Reported,GREAT,"15,009",2 wheel drive - rear,8-Cylinder,10-Speed Automatic,Flexible Fuel,20 City / 25 Highway,Race Red,Medium Earth Gray
62,Certified 2018 Ford F150 XLT,"33,995",One Owner,No Accident / Damage Reported,GREAT,"17,706",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"6'6""",18 City / 23 Highway,Magnetic Metallic
64,Certified 2020 Ford Ranger XLT,"34,316",One Owner,No Accident / Damage Reported,GREAT,"4,725",4 wheel drive,4-Cylinder Turbo,10-Speed Automatic,Gasoline,5',20 City / 24 Highway,Iconic Silver Metallic
65,Certified 2018 Ford F150 XL,"34,914",One Owner,No Accident / Damage Reported,GREAT,"13,056",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"5'6""",18 City / 23 Highway,Magnetic Metallic
67,Used 2019 Dodge Grand Caravan SXT,"16,987",One Owner,No Accident / Damage Reported,GREAT,"36,950",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,17 City / 25 Highway,Brilliant Black Crystal Pearlcoat,Black
68,Certified 2018 Ford F150 XLT,"36,994",One Owner,No Accident / Damage Reported,GREAT,"8,195",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"5'6""",18 City / 23 Highway,Race Red
69,Used 2019 Ford F150 XL,"37,614",One Owner,No Accident / Damage Reported,GREAT,"9,481",4 wheel drive,8-Cylinder,10-Speed Automatic,Flexible Fuel,18 City / 23 Highway,Ingot Silver Metallic,Black
70,Used 2020 Ford Explorer 4WD XLT,"38,944",One Owner,No Accident / Damage Reported,GREAT,"4,871",4 wheel drive,4-Cylinder Turbo,10-Speed Automatic,Gasoline,20 City / 27 Highway,Rich Copper Metallic Tinted Clearcoat,Ebony
71,Used 2020 Ford Explorer 4WD XLT,"38,977",One Owner,No Accident / Damage Reported,GREAT,"6,438",4 wheel drive,4-Cylinder Turbo,10-Speed Automatic,Gasoline,20 City / 27 Highway,Agate Black Metallic,Sandstone
72,Used 2019 Ford F150 XLT,"39,798",One Owner,No Accident / Damage Reported,GREAT,"2,677",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"5'6""",18 City / 23 Highway,Oxford White
73,Certified 2019 Ford F150 XLT,"39,995",One Owner,No Accident / Damage Reported,GREAT,"9,943",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,18 City / 23 Highway,Ingot Silver Metallic,Black
75,Used 2019 Buick Enclave FWD Avenir,"40,982",One Owner,No Accident / Damage Reported,GREAT,"9,497",2 wheel drive - front,6-Cylinder,9-Speed Automatic,Gasoline,18 City / 26 Highway,White Frost Tricoat,Brandy
76,Used 2020 Ford F250 XL,"45,777",One Owner,No Accident / Damage Reported,GREAT,"6,436",4 wheel drive,8-Cylinder,10-Speed Automatic,Gasoline,Information Unavailable,Iconic Silver Metallic,Medium Earth Gray
77,Used 2018 Dodge Challenger SRT Hellcat,"58,989",Multiple Owners,Accident / Damage Reported,GREAT,"7,159",2 wheel drive - rear,8-Cylinder Supercharged,8-Speed Automatic,Gasoline,13 City / 22 Highway,Go Mango,Black
78,Used 2020 Ford F350 King Ranch,"78,989",One Owner,No Accident / Damage Reported,GREAT,"6,527",4 wheel drive,8-Cylinder Turbo,10-Speed Automatic,Diesel,8',Information Unavailable,Star White Metallic Tri-Coat
79,Used 2017 Ford Fusion SE,"16,000",One Owner,No Accident / Damage Reported,GREAT,"33,336",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,23 City / 34 Highway,Ingot Silver,Ebony
80,Used 2019 Honda Civic LX Sedan,"19,000",One Owner,No Accident / Damage Reported,GOOD,"6,842",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,30 City / 38 Highway,Lunar Silver Metallic,Black
81,Used 2019 Honda Civic Sport Sedan,"19,500",One Owner,No Accident / Damage Reported,GREAT,"14,330",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,30 City / 38 Highway,Aegean Blue Metallic,Black
82,Used 2017 Dodge Challenger SXT w/ Sound Group,"24,800",One Owner,No Accident / Damage Reported,GREAT,"10,541",2 wheel drive - rear,6-Cylinder,8-Speed Automatic,Gasoline,19 City / 30 Highway,Torred Clearcoat,Black
83,Used 2017 Ford Explorer 4WD XLT,"25,500",One Owner,No Accident / Damage Reported,GREAT,"40,418",4 wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,16 City / 23 Highway,Blue Jeans Metallic,Medium Light Camel
84,Used 2019 Ford Edge FWD SEL,"27,500",One Owner,No Accident / Damage Reported,GREAT,"7,432",2 wheel drive - front,4-Cylinder Turbo,8-Speed Automatic,Gasoline,22 City / 29 Highway,Ingot Silver,Ebony
85,Used 2017 Ford Explorer 4WD Sport,"32,000",One Owner,No Accident / Damage Reported,GREAT,"36,850",4 wheel drive,6-Cylinder Turbo,6-Speed Automatic,Gasoline,16 City / 22 Highway,Shadow Black,Ebony Black
86,Used 2017 Ford F150 XLT,"36,750",One Owner,No Accident / Damage Reported,GREAT,"18,135",4 wheel drive,6-Cylinder Turbo,6-Speed Automatic,Gasoline,"5'6""",17 City / 23 Highway,Blue
87,Used 2020 Jeep Wrangler 4WD Unlimited Sahara,"41,775",Multiple Owners,No Accident / Damage Reported,GREAT,"7,787",4 wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,Information Unavailable,Bright White Clearcoat,Black
88,Used 2018 GMC Sierra 1500 Denali,"47,000",One Owner,No Accident / Damage Reported,GREAT,"24,859",4 wheel drive,8-Cylinder,8-Speed Automatic,Gasoline,"5'10""",15 City / 20 Highway,Red Quartz Tintcoat
89,New 2020 Ford Fusion SE,"19,000",,,,0,2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,23 City / 34 Highway,Rapid Red Metallic Tinted Clearcoat - Red,Medium Light Stone Cloth
90,Used 2018 Cadillac Escalade 4WD Premium Luxury,"55,990",Multiple Owners,No Accident / Damage Reported,GREAT,"42,500",4 wheel drive,8-Cylinder,10-Speed Automatic,Gasoline,14 City / 21 Highway,Black Raven,Jet Black
91,Used 2015 Ford Escape FWD SE,"14,363",One Owner,No Accident / Damage Reported,GOOD,"44,731",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,21 City / 30 Highway,Magnetic,Medium Light Stone
92,Used 2020 Toyota Corolla LE Sedan,"18,279",One Owner,No Accident / Damage Reported,GREAT,335,2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,30 City / 38 Highway,Celestite,Light Gray
93,Certified 2020 Hyundai Kona FWD SEL,"18,490",One Owner,No Accident / Damage Reported,GREAT,"12,251",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,27 City / 33 Highway,Ultra Black,Gray/Black
94,Used 2016 Nissan Rogue SL,"18,819",One Owner,Accident / Damage Reported,GOOD,"35,281",All wheel drive,4-Cylinder,Continuously Variable Automatic,Gasoline,25 City / 31 Highway,Magnetic Black,Charcoal
95,Used 2020 Hyundai Tucson FWD SE,"20,490",One Owner,No Accident / Damage Reported,GREAT,"8,400",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,23 City / 28 Highway,Dusk Blue,Black
96,Used 2015 Jeep Grand Cherokee Laredo,"17,690",Multiple Owners,No Accident / Damage Reported,GOOD,"96,633",4 wheel drive,6-Cylinder,8-Speed Automatic,Flexible Fuel,17 City / 24 Highway,Deep Cherry Red Crystal Pearlcoat,Black
97,Certified 2020 Hyundai Santa Fe FWD SEL,"24,590",One Owner,No Accident / Damage Reported,GREAT,"11,824",2 wheel drive - front,4-Cylinder,8-Speed Automatic,Gasoline,22 City / 29 Highway,Machine Gray,Black/Beige
98,Used 2020 Hyundai Sonata Limited,"29,180",One Owner,No Accident / Damage Reported,GREAT,43,2 wheel drive - front,4-Cylinder Turbo,8-Speed Automatic,Gasoline,27 City / 36 Highway,Phantom Black,Dark Gray/Camel
99,Used 2017 Chevrolet Colorado LT,"30,295",One Owner,No Accident / Damage Reported,GREAT,"22,086",4 wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,"5'2""",17 City / 24 Highway,Graphite Metallic
100,Used 2018 Ford F150 XLT,"34,295",One Owner,No Accident / Damage Reported,GREAT,"4,915",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"5'6""",18 City / 23 Highway,Magnetic Metallic
101,Used 2020 Jaguar F-PACE Checkered Flag,"49,995",One Owner,No Accident / Damage Reported,GREAT,"6,538",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,22 City / 27 Highway,Santorini Black Metallic,Ebony
102,Used 2013 Dodge Avenger SE,"8,726",Multiple Owners,Accident / Damage Reported,GOOD,"73,637",2 wheel drive - front,4-Cylinder,4-Speed Automatic,Gasoline,21 City / 28 Highway,White,Light Frost Beige/Black
103,Used 2017 Ford Fusion SE,"18,238",Multiple Owners,Accident / Damage Reported,GREAT,"29,738",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,21 City / 31 Highway,Black,Ebony
104,Used 2018 Toyota Camry SE,"22,570",One Owner,Accident / Damage Reported,GOOD,"5,227",2 wheel drive - front,4-Cylinder,8-Speed Automatic,Gasoline,29 City / 41 Highway,Predawn Gray Mica,Ash
105,Used 2007 Chevrolet Corvette Coupe,"23,052",Multiple Owners,No Accident / Damage Reported,GREAT,"55,236",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Gasoline,15 City / 25 Highway,Silver,Ebony
106,Used 2014 Acura TL SH-AWD,"15,491",Multiple Owners,No Accident / Damage Reported,GREAT,"63,630",All wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,18 City / 26 Highway,Silver Moon,Ebony
107,Used 2019 Buick Encore FWD Preferred,"17,891",One Owner,No Accident / Damage Reported,GREAT,"4,265",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,25 City / 30 Highway,Winterberry Red Metallic,Ebony
108,Used 2017 Kia Sorento LX,"18,791",One Owner,No Accident / Damage Reported,GREAT,"39,046",All wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,21 City / 25 Highway,Platinum Graphite,Satin Black
109,Used 2018 Kia Niro EX,"19,791",One Owner,No Accident / Damage Reported,GREAT,"24,825",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Hybrid Gas/Electric,Information Unavailable,51 City / 46 Highway,Snow White Pearl
110,Used 2018 Chevrolet Equinox AWD LT w/ 1LT,"20,491",One Owner,No Accident / Damage Reported,GREAT,"20,121",All wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,24 City / 30 Highway,Silver Ice Metallic,Jet Black
111,Used 2020 Chevrolet Equinox LT,"22,591",Multiple Owners,No Accident / Damage Reported,GREAT,"13,476",All wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,25 City / 30 Highway,Satin Steel Metallic,Jet Black
112,Used 2015 RAM 1500 Express,"23,991",Multiple Owners,Accident / Damage Reported,GREAT,"69,375",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,"6'5""",16 City / 23 Highway,Bright Silver Metallic Clearcoat
113,Used 2018 Ford Edge FWD Titanium,"24,991",Multiple Owners,No Accident / Damage Reported,GREAT,"29,121",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,20 City / 29 Highway,Lightning Blue Metallic,Dune
114,Used 2020 Ford Mustang Coupe,"25,491",One Owner,No Accident / Damage Reported,GREAT,"5,715",2 wheel drive - rear,4-Cylinder Turbo,Information Unavailable,Gasoline,Information Unavailable,Race Red,Ebony
115,Used 2017 Lexus IS 300 AWD,"28,691",One Owner,No Accident / Damage Reported,GREAT,"37,951",All wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,19 City / 26 Highway,Atomic Silver,Black
116,Used 2020 Chevrolet Silverado 1500 4x4 Crew Cab Custom,"39,991",,,GREAT,693,4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,"5'10""",15 City / 20 Highway,Summit White
117,Used 2017 Nissan Titan SV,"30,295",One Owner,No Accident / Damage Reported,GREAT,"42,015",4 wheel drive,8-Cylinder,7-Speed Automatic,Gasoline,"5'6""",15 City / 21 Highway,Glacier White
118,Used 2016 Jeep Wrangler 4WD Unlimited Sport w/ RHD,,Multiple Owners,No Accident / Damage Reported,,"66,810",4 wheel drive,6-Cylinder,5-Speed Automatic,Gasoline,16 City / 20 Highway,Bright White Clearcoat,Black W/Cloth Seats W/Adjustab
119,Used 2018 Ford Fusion S,"15,765",Multiple Owners,No Accident / Damage Reported,GREAT,"11,947",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,21 City / 32 Highway,Gray,Medium Light Stone
120,Used 2019 Nissan Kicks SV,"16,498",One Owner,No Accident / Damage Reported,GREAT,"1,980",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,31 City / 36 Highway,Super Black,Charcoal
121,Used 2018 Nissan Rogue S,"17,994",One Owner,No Accident / Damage Reported,GREAT,"17,301",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,26 City / 33 Highway,Blue,Charcoal
122,Used 2019 Nissan Rogue Sport SV,"18,999",One Owner,No Accident / Damage Reported,GREAT,"5,338",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,25 City / 32 Highway,Magnetic Black Pearl,Charcoal
123,Certified 2020 Nissan Altima 2.5 S,"19,250",One Owner,No Accident / Damage Reported,GREAT,"2,225",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,28 City / 39 Highway,Silver,Charcoal
