,year,brand,make_model,price,price_bin,price_rating,mileage,mileage_15,mpg_city,mpg_highway,combined_mpg,condition,accident,one_owner,drive_type,fuel_type,engine,engine_#,automatic,turbo,electric,transmission,trans_#,interior,exterior,color
143,2013,9,Toyota Tundra 4x4 Double Cab,25990.0,8,2,66317,12,6,0,6,1,1,0,1,0,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Gray,N/A,N/A
144,2016,20,RAM 1500 Express,26590.0,9,2,20999,4,6,0,6,1,1,1,1,0,8-Cylinder,8,1,0,0,8-Speed Automatic,8,Black,N/A,N/A
145,2019,2,Dodge Challenger GT w/ Blacktop Package,27990.0,9,2,4471,1,19,30,49,1,1,1,2,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Black,Red,Red
146,2017,3,Ford F150 XLT,28590.0,10,2,20720,4,6,0,6,1,1,1,2,1,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Gray,N/A,N/A
147,2020,15,Buick Enclave FWD Essence,46880.0,13,0,1226,0,18,26,44,3,1,0,0,0,6-Cylinder,6,1,0,0,9-Speed Automatic,9,Ebony,White Frost Tricoat - White,White
148,2018,0,Chevrolet Colorado LT,28990.0,10,2,20050,4,5,0,5,1,1,0,1,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Silver,N/A,N/A
149,2013,9,Toyota Tundra 4x4 Double Cab,28990.0,10,2,23490,4,6,0,6,1,1,1,1,0,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Red,N/A,N/A
150,2014,0,Chevrolet Silverado 1500 4x4 Regular Cab LT,30590.0,11,1,32911,7,80,80,160,1,1,1,1,1,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Black,N/A,N/A
151,2014,9,Toyota Tundra 4x4 Double Cab SR5,30990.0,11,2,49139,11,6,0,6,1,1,0,1,0,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Red,N/A,N/A
152,2018,0,Chevrolet Silverado 1500 LT w/ Z71,31990.0,11,2,15434,3,6,0,6,1,1,1,1,1,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Black,N/A,N/A
153,2017,0,Chevrolet Silverado 1500 LT w/ Z71,31990.0,11,2,15492,3,6,0,6,1,1,1,1,0,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Red,N/A,N/A
154,2014,3,Ford F150 FX4,32990.0,11,2,43028,10,14,19,33,1,1,0,1,1,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Black,Red,Red
155,2017,16,Jeep Wrangler 4WD Unlimited Sport,32990.0,11,2,26451,5,16,20,36,1,1,1,1,0,6-Cylinder,6,1,0,0,5-Speed Automatic,5,Black,Blue,Blue
156,2014,8,GMC Sierra 1500 2WD Crew Cab SLT,33590.0,11,2,46145,10,5,0,5,1,1,0,2,1,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Blue,N/A,N/A
