,0,1,2,3,4,5,6,7,8,9
811,Certified 2017 Chevrolet Traverse AWD LT w/ 1LT,"25,495","27,206",All wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,15 City / 22 Highway,Silver Ice Metallic - Gray,Ebony Cloth
812,Used 2020 Chevrolet Blazer AWD LT w/ 2LT,"32,995","2,637",All wheel drive,6-Cylinder,9-Speed Automatic,Gasoline,18 City / 25 Highway,Silver Ice Metallic - Gray,Jet Black Cloth
813,Used 2018 Chevrolet Silverado 1500 4x4 Crew Cab LTZ,"43,495","12,950",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,"5'10""",16 City / 22 Highway,Silver Ice Metallic - Gray
814,Used 2012 Honda Civic LX Coupe,"11,590","61,494",2 wheel drive - front,4-Cylinder,5-Speed Automatic,Gasoline,28 City / 38 Highway,Silver,Lt. Gray
815,Used 2014 Ford C-MAX SE,"11,990","48,670",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,42 City / 37 Highway,Silver
818,Used 2012 Ford Taurus SEL,"12,590","41,994",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,18 City / 27 Highway,Gray,Lt. Gray
819,Used 2009 BMW 335i Sedan,"13,590","82,161",2 wheel drive - rear,6-Cylinder Turbo,6-Speed Shiftable Automatic,Gasoline,Information Unavailable,Gray,Gray
820,Used 2015 Ford Fiesta ST Hatchback,"13,990","44,208",2 wheel drive - front,4-Cylinder Turbo,6-Speed Manual,Gasoline,26 City / 34 Highway,Red,Black
821,Used 2014 Dodge Grand Caravan SE,"13,990","36,346",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,17 City / 25 Highway,Burgundy,Other
822,Used 2010 Honda Accord EX-L Coupe,"13,990","37,379",2 wheel drive - front,6-Cylinder,6-Speed Manual,Gasoline,17 City / 25 Highway,Gray,Black
824,Used 2016 Chevrolet Trax FWD LT w/ 1LT,"14,400","27,954",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,26 City / 34 Highway,White,Black
825,Used 2017 Chevrolet Trax FWD LS,"14,590","23,272",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,25 City / 33 Highway,White,Black
826,Used 2014 Nissan Juke NISMO,"15,990","46,194",All wheel drive,4-Cylinder Turbo,Continuously Variable Automatic,Gasoline,25 City / 30 Highway,White,Dk. Gray
827,Used 2014 Ford Taurus SEL,"15,990","27,433",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,19 City / 28 Highway,White,Beige
828,Used 2015 Honda Accord Hybrid Sedan,"16,590","43,621",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,50 City / 45 Highway,Gray
829,Used 2013 Toyota Tacoma 2WD Regular Cab,"16,590","49,215",2 wheel drive - rear,4-Cylinder,4-Speed Automatic,Gasoline,6',19 City / 24 Highway,White
