,0,1,2,3,4,5,6,7,8,9
1079,Used 2017 Jeep Wrangler 4WD Sport,"28,500","46,096",4 wheel drive,6-Cylinder,5-Speed Automatic,Gasoline,16 City / 20 Highway,Granite Crystal Metallic Clearcoat,Black
1080,Used 2019 Chevrolet Silverado 1500 4x4 Crew Cab LT,"39,595","12,116",4 wheel drive,8-Cylinder,8-Speed Automatic,Gasoline,"5'10""",19 City / 22 Highway,Summit White - White
1081,Used 2020 Ford F350 4x4 Crew Cab Super Duty,"71,695","5,187",4 wheel drive,8-Cylinder Turbo,10-Speed Automatic,Diesel,Information Unavailable,Vermillion Red - Red,Black Leather
1082,Used 2014 Toyota Yaris 2-Door Hatchback,"11,590","60,660",2 wheel drive - front,4-Cylinder,4-Speed Automatic,Gasoline,Information Unavailable,Silver,Black
1083,Used 2017 Toyota Yaris 4-Door Hatchback,"15,990","13,321",2 wheel drive - front,4-Cylinder,4-Speed Automatic,Gasoline,30 City / 35 Highway,Silver,Black
1084,Used 2012 Mercedes-Benz C 300 4MATIC Sedan,"16,990","41,045",All wheel drive,6-Cylinder,7-Speed Automatic,Gasoline,18 City / 25 Highway,Silver,Black
1085,Used 2011 GMC Yukon XL 2WD SLE,"17,590","93,209",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Flexible Fuel,15 City / 21 Highway,Silver,Black
1086,Used 2013 Toyota Tacoma 2WD Access Cab,"18,990","73,843",2 wheel drive - rear,4-Cylinder,4-Speed Automatic,Gasoline,6',19 City / 24 Highway,White
1087,Used 2015 Nissan Frontier SV,"18,990","57,994",2 wheel drive - rear,6-Cylinder,5-Speed Automatic,Gasoline,6',16 City / 22 Highway,Black
1088,Used 2016 Nissan Frontier S,"19,590","49,932",2 wheel drive - rear,6-Cylinder,5-Speed Automatic,Gasoline,5',16 City / 22 Highway,Black
1089,Used 2010 Chevrolet Camaro SS Coupe,"19,990","67,443",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Gasoline,16 City / 25 Highway,Silver,Black
1090,Used 2013 BMW 328i Sedan,"19,990","6,890",2 wheel drive - rear,4-Cylinder Turbo,Information Unavailable,Gasoline,Information Unavailable,White,Beige
1091,Used 2016 MAZDA MX-5 Miata Club,"19,990","51,862",2 wheel drive - rear,4-Cylinder,6-Speed Manual,Gasoline,27 City / 34 Highway,Red,Black
1092,Used 2013 Nissan Frontier SL,"21,990","73,883",2 wheel drive - rear,6-Cylinder,5-Speed Automatic,Gasoline,5',16 City / 22 Highway,Black
1093,Used 2018 Chevrolet Silverado 1500 2WD Regular Cab,"24,990","21,336",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Gasoline,8',18 City / 24 Highway,White
1094,Used 2019 Nissan Frontier SV,"24,990","15,571",2 wheel drive - rear,6-Cylinder,5-Speed Automatic,Gasoline,5',16 City / 23 Highway,Gray
1095,Used 2010 Chevrolet Camaro SS Coupe,"24,990","9,111",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Gasoline,16 City / 25 Highway,Black,Beige
1096,Used 2014 Chevrolet Silverado 1500 4x4 Regular Cab LT,"26,990","69,691",4 wheel drive,8-Cylinder,6-Speed Automatic,Flexible Fuel,"6'7""",17 City / 22 Highway,Blue
1097,Used 2014 Toyota 4Runner Limited,"27,590","88,403",4 wheel drive,6-Cylinder,5-Speed Automatic,Gasoline,17 City / 21 Highway,Black,Beige
1098,Used 2015 Chevrolet Silverado 1500 LT,"27,990","52,644",4 wheel drive,6-Cylinder,6-Speed Automatic,Flexible Fuel,"5'10""",17 City / 22 Highway,Silver
1099,Used 2016 Mercedes-Benz E 350 4MATIC Sedan,"28,990","25,110",All wheel drive,6-Cylinder,7-Speed Automatic,Gasoline,20 City / 28 Highway,Black,Black
1102,Used 2018 Chevrolet Colorado LT,"29,990","20,050",4 wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,"5'2""",17 City / 24 Highway,Silver
1103,Used 2015 Chevrolet Suburban 2WD LS,"29,990","63,662",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Flexible Fuel,16 City / 23 Highway,White,Beige
1104,Used 2016 RAM 1500 Big Horn,"29,990","42,630",4 wheel drive,8-Cylinder,8-Speed Automatic,Gasoline,"6'5""",15 City / 21 Highway,Blue
1105,Used 2019 Ford Ranger 2WD SuperCrew,"29,990","12,850",2 wheel drive - rear,4-Cylinder Turbo,10-Speed Automatic,Gasoline,5',21 City / 26 Highway,Silver
1106,Used 2016 Chevrolet Silverado 1500 4x4 Crew Cab LT,"31,990","46,780",4 wheel drive,6-Cylinder,6-Speed Automatic,Flexible Fuel,"5'10""",17 City / 22 Highway,Red
1107,Used 2019 RAM 1500 4x4 Crew Cab,"38,995","49,030",4 wheel drive,8-Cylinder,8-Speed Automatic,Gasoline,"5'8""",19 City / 24 Highway,Diamond Black Crystal Pearlcoat - Black
1108,Used 2017 Toyota Tacoma 4x4 Access Cab,"32,590","32,359",4 wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,6',18 City / 23 Highway,Silver
1109,Used 2019 Toyota Tacoma 4x4 Double Cab,"35,990","2,586",4 wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,5',18 City / 22 Highway,White
1110,Used 2019 Chevrolet Colorado 4x4 Crew Cab ZR2,"35,990","20,298",4 wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,"5'2""",16 City / 18 Highway,Silver
1111,Used 2020 Kia Telluride FWD EX w/ Towing Package,"40,990","21,863",2 wheel drive - front,6-Cylinder,8-Speed Automatic,Gasoline,20 City / 26 Highway,Black,Black
1112,Used 2020 Chevrolet Suburban LT,"41,590","35,444",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Gasoline,15 City / 22 Highway,Black,Lt. Brown
1113,Used 2020 GMC Sierra 1500 2WD Double Cab Elevation,"42,590","1,442",2 wheel drive - rear,8-Cylinder,8-Speed Automatic,Gasoline,"6'7""",20 City / 23 Highway,Gray
1114,Used 2019 Toyota 4Runner Limited,"42,990","16,500",4 wheel drive,6-Cylinder,5-Speed Automatic,Gasoline,17 City / 20 Highway,White,Black
1115,Used 2013 Chevrolet Equinox FWD LT w/ 1LT,"9,656","112,146",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,22 City / 31 Highway,Crystal Red Tint,Jet Black
1116,Used 2018 Chevrolet Spark LS,"10,429","37,677",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,30 City / 38 Highway,Mosaic Black Metallic,Jet Black
1117,Used 2013 Kia Sportage AWD SX w/ SX Premium Pkg,"13,572","74,020",All wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,20 City / 25 Highway,Silver,Black
1118,Used 2017 Buick Encore FWD Sport Touring,"16,897","18,990",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,25 City / 33 Highway,Ebony Twilight Metallic,Brandy/Ebony Accents
1119,Used 2008 Dodge Charger R/T,"16,987","26,737",2 wheel drive - rear,8-Cylinder,5-Speed Automatic,Gasoline,15 City / 23 Highway,Hemi Orange Pearl Coat,Dark Slate Gray
1121,Used 2015 RAM 1500 Express,"25,987","55,356",4 wheel drive,8-Cylinder,8-Speed Automatic,Gasoline,"5'8""",16 City / 23 Highway,Deep Cherry Red Crystal Pearlcoat
1122,Used 2018 RAM 1500 Big Horn,"29,956","26,954",4 wheel drive,6-Cylinder,8-Speed Automatic,Flexible Fuel,"6'5""",16 City / 23 Highway,Delmonico Red Pearlcoat
1123,Used 2018 Jeep Wrangler JK 4WD Unlimited Sport,"29,987","27,894",4 wheel drive,6-Cylinder,5-Speed Automatic,Gasoline,16 City / 20 Highway,Billet Silver Metallic Clearcoat,Black
1124,Used 2013 Cadillac ATS Sedan,"11,989","85,219",2 wheel drive - rear,4-Cylinder,6-Speed Automatic,Gasoline,22 City / 32 Highway,Glacier Blue Metallic,Jet Black W/Jet Black Accents
1125,Used 2016 Ford Fusion SE,"15,391","47,703",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,22 City / 34 Highway,Shadow Black,Ebony
1126,Used 2016 Honda Fit LX,"11,500","59,239",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,33 City / 40 Highway,Black,Black
1127,Used 1998 Chevrolet Corvette Coupe w/ Roof Pkg,"12,500","81,160",2 wheel drive - rear,8-Cylinder,4-Speed Automatic,Gasoline,15 City / 23 Highway,Light Pewter Metallic,Light Gray
1128,Used 2020 Chevrolet Blazer AWD LT w/ 3LT,"37,990","6,943",All wheel drive,6-Cylinder,9-Speed Automatic,Gasoline,18 City / 25 Highway,Summit White,Jet Black W/Perforated Leather
1129,Used 2017 GMC Acadia Limited AWD SLT,"28,990","49,725",All wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,18 City / 25 Highway,Summit White,Dark Cashmere W/Perforated Lea
1130,Used 1998 Chevrolet Corvette Convertible,"14,500","55,824",2 wheel drive - rear,8-Cylinder,4-Speed Automatic,Gasoline,15 City / 23 Highway,Onyx Black,Black
1131,Used 2011 Chevrolet Silverado 1500 LS,"14,500","116,489",2 wheel drive - rear,8-Cylinder,4-Speed Automatic,Flexible Fuel,"5'10""",14 City / 19 Highway,Blue Granite Metallic
1132,Used 2010 Chevrolet Silverado 1500 LT,"16,500","123,428",4 wheel drive,8-Cylinder,6-Speed Automatic,Flexible Fuel,"5'10""",13 City / 18 Highway,Black
1133,Used 2010 Chevrolet Camaro SS Coupe w/ 2SS,"17,000","102,462",2 wheel drive - rear,8-Cylinder,6-Speed Manual,Gasoline,16 City / 24 Highway,Black,Black
1134,Used 2017 Chevrolet Express 2500,"17,500","42,349",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Gasoline,Information Unavailable,Summit White,Medium Pewter
1135,New 2020 Jeep Cherokee 4WD Latitude,"29,925MSRP",10,4 wheel drive,4-Cylinder,9-Speed Automatic,Gasoline,21 City / 29 Highway,Light Brownstone Pearlcoat,Black
1136,Used 2014 Ford F150 XLT,"23,000","84,832",4 wheel drive,8-Cylinder,6-Speed Automatic,Flexible Fuel,14 City / 19 Highway,Sterling Gray Metallic,Steel Gray
1137,Used 2014 Ford F150 XLT,"23,500","56,875",4 wheel drive,6-Cylinder Turbo,6-Speed Automatic,Gasoline,"6'6""",16 City / 21 Highway,Ruby Red Metallic Tinted Clearcoat
1138,Used 2005 Chevrolet TrailBlazer 4WD LS,"7,995","76,265",4 wheel drive,6-Cylinder,4-Speed Automatic,Gasoline,15 City / 20 Highway,Gray,Gray
1139,Used 2009 Honda Fit Sport,"7,999","94,327",2 wheel drive - front,4-Cylinder,5-Speed Automatic,Gasoline,27 City / 33 Highway,Silver,Black
1140,Used 2008 Honda Civic LX Sedan,"7,999","111,782",2 wheel drive - front,4-Cylinder,5-Speed Automatic,Gasoline,25 City / 36 Highway,Blue,Gray
1141,Used 2010 Toyota RAV4 4WD,"10,999","79,994",4 wheel drive,4-Cylinder,4-Speed Automatic,Gasoline,21 City / 27 Highway,Pewter,Gray
1142,Used 2015 Dodge Grand Caravan SE,"9,999","91,978",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,17 City / 25 Highway,Billet Silver Metallic Clearcoat,Black/Light Graystone
1143,Used 2019 Ford Fiesta SE Sedan,"11,111","30,938",2 wheel drive - front,4-Cylinder,6-Speed Shiftable Automatic,Gasoline,27 City / 37 Highway,Ingot Silver,3FADP4BJ4KM141475
1144,Used 2019 Ford Fiesta SE Sedan,"11,678","31,924",2 wheel drive - front,4-Cylinder,6-Speed Shiftable Automatic,Gasoline,27 City / 37 Highway,Oxford White,Medium Light Stone
1145,Used 2019 Toyota Corolla LE,"15,678","33,073",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,28 City / 36 Highway,Falcon Gray Metallic,Steel Gray
1146,Used 2019 Ford Fusion SE Hybrid,"15,999","46,153",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,43 City / 40 Highway,Oxford White
1147,Used 2019 Dodge Grand Caravan SXT,"16,999","51,007",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,17 City / 25 Highway,Billet Silver Metallic Clearcoat,Black
1148,Used 2019 Nissan Altima 2.5 S,"17,678","31,034",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,28 City / 39 Highway,Brilliant Silver Metallic,Charcoal
1149,Used 2019 Nissan Altima 2.5 S,"17,678","32,733",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,28 City / 39 Highway,Glacier White,Charcoal
1150,Used 2019 Ford Fusion Titanium AWD,"18,678","48,721",All wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,20 City / 29 Highway,Silver,3FA6P0D90KR187179
1151,Used 2018 Ford Fusion Titanium,"18,999","31,858",All wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,20 City / 29 Highway,Oxford White,3FA6P0D96JR233564
1152,Used 2019 Nissan Altima 2.5 SV,"19,999","22,958",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,28 City / 39 Highway,Storm Blue Metallic,Charcoal
1153,Used 2020 Nissan Altima 2.5 SL,"20,999","35,775",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,28 City / 39 Highway,Brilliant Silver Metallic,Charcoal
1154,Used 2020 Chevrolet Equinox LT,"21,999","27,482",All wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,25 City / 30 Highway,Silver Ice Metallic,Jet Black
1155,Used 2020 Chrysler Pacifica Touring-L,"24,999","40,369",2 wheel drive - front,6-Cylinder,9-Speed Automatic,Gasoline,19 City / 28 Highway,Granite Crystal Metallic Clearcoat,Alloy
